geoName,geoCode,Natursteinmauer
Burgenland,AT-1,0
Carinthia,AT-2,88
Lower Austria,AT-3,73
Salzburg,AT-5,100
Styria,AT-6,37
Tyrol,AT-7,67
Upper Austria,AT-4,79
Vienna,AT-9,16
Vorarlberg,AT-8,0
