date,Küche streichen,isPartial
2018-01-07,69,False
2018-01-14,59,False
2018-01-21,97,False
2018-01-28,78,False
2018-02-04,43,False
2018-02-11,61,False
2018-02-18,47,False
2018-02-25,80,False
2018-03-04,99,False
2018-03-11,74,False
2018-03-18,52,False
2018-03-25,75,False
2018-04-01,70,False
2018-04-08,58,False
2018-04-15,30,False
2018-04-22,71,False
2018-04-29,67,False
2018-05-06,15,False
2018-05-13,42,False
2018-05-20,30,False
2018-05-27,58,False
2018-06-03,57,False
2018-06-10,37,False
2018-06-17,51,False
2018-06-24,43,False
2018-07-01,50,False
2018-07-08,47,False
2018-07-15,49,False
2018-07-22,64,False
2018-07-29,29,False
2018-08-05,39,False
2018-08-12,29,False
2018-08-19,63,False
2018-08-26,49,False
2018-09-02,62,False
2018-09-09,57,False
2018-09-16,61,False
2018-09-23,53,False
2018-09-30,57,False
2018-10-07,52,False
2018-10-14,61,False
2018-10-21,69,False
2018-10-28,69,False
2018-11-04,45,False
2018-11-11,55,False
2018-11-18,36,False
2018-11-25,55,False
2018-12-02,14,False
2018-12-09,46,False
2018-12-16,33,False
2018-12-23,54,False
2018-12-30,73,False
2019-01-06,70,False
2019-01-13,56,False
2019-01-20,34,False
2019-01-27,43,False
2019-02-03,70,False
2019-02-10,67,False
2019-02-17,58,False
2019-02-24,50,False
2019-03-03,53,False
2019-03-10,69,False
2019-03-17,54,False
2019-03-24,27,False
2019-03-31,34,False
2019-04-07,45,False
2019-04-14,39,False
2019-04-21,38,False
2019-04-28,44,False
2019-05-05,52,False
2019-05-12,45,False
2019-05-19,49,False
2019-05-26,54,False
2019-06-02,44,False
2019-06-09,41,False
2019-06-16,37,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,45,False
2019-07-14,37,False
2019-07-21,51,False
2019-07-28,47,False
2019-08-04,67,False
2019-08-11,55,False
2019-08-18,60,False
2019-08-25,41,False
2019-09-01,62,False
2019-09-08,67,False
2019-09-15,54,False
2019-09-22,65,False
2019-09-29,53,False
2019-10-06,66,False
2019-10-13,94,False
2019-10-20,60,False
2019-10-27,42,False
2019-11-03,49,False
2019-11-10,67,False
2019-11-17,66,False
2019-11-24,65,False
2019-12-01,33,False
2019-12-08,25,False
2019-12-15,38,False
2019-12-22,44,False
2019-12-29,67,False
2020-01-05,80,False
2020-01-12,54,False
2020-01-19,60,False
2020-01-26,95,False
2020-02-02,47,False
2020-02-09,69,False
2020-02-16,100,False
2020-02-23,78,False
2020-03-01,50,False
2020-03-08,69,False
2020-03-15,75,False
2020-03-22,82,False
2020-03-29,85,False
2020-04-05,66,False
2020-04-12,71,False
2020-04-19,84,False
2020-04-26,99,False
2020-05-03,79,False
2020-05-10,47,False
2020-05-17,78,True
