geoName,geoCode,Küche streichen
Baden-Württemberg,DE-BW,70
Bavaria,DE-BY,62
Berlin,DE-BE,51
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,69
Hesse,DE-HE,79
Lower Saxony,DE-NI,100
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,74
Rhineland-Palatinate,DE-RP,91
Saarland,DE-SL,0
Saxony,DE-SN,54
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,55
Thuringia,DE-TH,0
