geoName,geoCode,Wohnung streichen
Baden-Württemberg,DE-BW,70
Bavaria,DE-BY,60
Berlin,DE-BE,72
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,40
Lower Saxony,DE-NI,48
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,55
Rhineland-Palatinate,DE-RP,23
Saarland,DE-SL,0
Saxony,DE-SN,79
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,48
Thuringia,DE-TH,0
