geoName,geoCode,Hochzeitsschmuck
Baden-Württemberg,DE-BW,21
Bavaria,DE-BY,15
Berlin,DE-BE,0
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,25
Hesse,DE-HE,10
Lower Saxony,DE-NI,9
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,11
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,0
Saxony,DE-SN,66
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,20
Thuringia,DE-TH,66
