geoName,geoCode,ramos a domicilio
Andalusia,ES-AN,28
Aragon,ES-AR,100
Asturias,ES-AS,0
Balearic Islands,ES-IB,0
Basque Country,ES-PV,36
Canary Islands,ES-CN,0
Cantabria,ES-CB,0
Castile and León,ES-CL,45
Castile-La Mancha,ES-CM,0
Catalonia,ES-CT,44
Ceuta,ES-CE,0
Community of Madrid,ES-MD,44
Extremadura,ES-EX,0
Galicia,ES-GA,35
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,0
Region of Murcia,ES-MC,0
Valencian Community,ES-VC,39
