date,Marmor Arbeitsplatte,isPartial
2018-01-07,50,False
2018-01-14,21,False
2018-01-21,64,False
2018-01-28,32,False
2018-02-04,22,False
2018-02-11,44,False
2018-02-18,65,False
2018-02-25,36,False
2018-03-04,43,False
2018-03-11,43,False
2018-03-18,43,False
2018-03-25,35,False
2018-04-01,58,False
2018-04-08,0,False
2018-04-15,53,False
2018-04-22,29,False
2018-04-29,34,False
2018-05-06,23,False
2018-05-13,36,False
2018-05-20,69,False
2018-05-27,22,False
2018-06-03,29,False
2018-06-10,21,False
2018-06-17,21,False
2018-06-24,66,False
2018-07-01,65,False
2018-07-08,22,False
2018-07-15,30,False
2018-07-22,45,False
2018-07-29,45,False
2018-08-05,22,False
2018-08-12,34,False
2018-08-19,45,False
2018-08-26,56,False
2018-09-02,44,False
2018-09-09,22,False
2018-09-16,22,False
2018-09-23,29,False
2018-09-30,36,False
2018-10-07,58,False
2018-10-14,43,False
2018-10-21,50,False
2018-10-28,21,False
2018-11-04,31,False
2018-11-11,50,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,21,False
2018-12-09,63,False
2018-12-16,86,False
2018-12-23,100,False
2018-12-30,37,False
2019-01-06,87,False
2019-01-13,46,False
2019-01-20,20,False
2019-01-27,20,False
2019-02-03,51,False
2019-02-10,41,False
2019-02-17,55,False
2019-02-24,73,False
2019-03-03,30,False
2019-03-10,30,False
2019-03-17,35,False
2019-03-24,35,False
2019-03-31,42,False
2019-04-07,41,False
2019-04-14,22,False
2019-04-21,22,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,42,False
2019-06-02,54,False
2019-06-09,0,False
2019-06-16,53,False
2019-06-23,21,False
2019-06-30,41,False
2019-07-07,20,False
2019-07-14,50,False
2019-07-21,45,False
2019-07-28,43,False
2019-08-04,33,False
2019-08-11,21,False
2019-08-18,32,False
2019-08-25,21,False
2019-09-01,30,False
2019-09-08,48,False
2019-09-15,41,False
2019-09-22,27,False
2019-09-29,47,False
2019-10-06,50,False
2019-10-13,39,False
2019-10-20,39,False
2019-10-27,39,False
2019-11-03,31,False
2019-11-10,67,False
2019-11-17,19,False
2019-11-24,44,False
2019-12-01,29,False
2019-12-08,38,False
2019-12-15,33,False
2019-12-22,52,False
2019-12-29,97,False
2020-01-05,55,False
2020-01-12,35,False
2020-01-19,18,False
2020-01-26,36,False
2020-02-02,55,False
2020-02-09,44,False
2020-02-16,74,False
2020-02-23,66,False
2020-03-01,41,False
2020-03-08,59,False
2020-03-15,24,False
2020-03-22,41,False
2020-03-29,27,False
2020-04-05,36,False
2020-04-12,51,False
2020-04-19,50,False
2020-04-26,43,False
2020-05-03,49,False
2020-05-10,66,False
