date,Dachbodenausbau,isPartial
2018-01-07,21,False
2018-01-14,48,False
2018-01-21,55,False
2018-01-28,34,False
2018-02-04,28,False
2018-02-11,42,False
2018-02-18,42,False
2018-02-25,28,False
2018-03-04,35,False
2018-03-11,41,False
2018-03-18,28,False
2018-03-25,22,False
2018-04-01,33,False
2018-04-08,43,False
2018-04-15,66,False
2018-04-22,42,False
2018-04-29,51,False
2018-05-06,44,False
2018-05-13,31,False
2018-05-20,22,False
2018-05-27,29,False
2018-06-03,32,False
2018-06-10,30,False
2018-06-17,34,False
2018-06-24,21,False
2018-07-01,31,False
2018-07-08,21,False
2018-07-15,36,False
2018-07-22,43,False
2018-07-29,33,False
2018-08-05,21,False
2018-08-12,36,False
2018-08-19,50,False
2018-08-26,43,False
2018-09-02,32,False
2018-09-09,49,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,35,False
2018-10-07,21,False
2018-10-14,42,False
2018-10-21,62,False
2018-10-28,55,False
2018-11-04,100,False
2018-11-11,55,False
2018-11-18,33,False
2018-11-25,20,False
2018-12-02,60,False
2018-12-09,41,False
2018-12-16,42,False
2018-12-23,60,False
2018-12-30,22,False
2019-01-06,39,False
2019-01-13,57,False
2019-01-20,44,False
2019-01-27,64,False
2019-02-03,58,False
2019-02-10,53,False
2019-02-17,40,False
2019-02-24,61,False
2019-03-03,45,False
2019-03-10,32,False
2019-03-17,20,False
2019-03-24,59,False
2019-03-31,40,False
2019-04-07,26,False
2019-04-14,33,False
2019-04-21,21,False
2019-04-28,46,False
2019-05-05,32,False
2019-05-12,40,False
2019-05-19,46,False
2019-05-26,0,False
2019-06-02,20,False
2019-06-09,41,False
2019-06-16,20,False
2019-06-23,41,False
2019-06-30,27,False
2019-07-07,33,False
2019-07-14,21,False
2019-07-21,22,False
2019-07-28,21,False
2019-08-04,43,False
2019-08-11,60,False
2019-08-18,34,False
2019-08-25,33,False
2019-09-01,39,False
2019-09-08,30,False
2019-09-15,60,False
2019-09-22,45,False
2019-09-29,39,False
2019-10-06,32,False
2019-10-13,38,False
2019-10-20,38,False
2019-10-27,38,False
2019-11-03,30,False
2019-11-10,37,False
2019-11-17,31,False
2019-11-24,30,False
2019-12-01,46,False
2019-12-08,18,False
2019-12-15,44,False
2019-12-22,32,False
2019-12-29,40,False
2020-01-05,59,False
2020-01-12,46,False
2020-01-19,41,False
2020-01-26,70,False
2020-02-02,23,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,46,False
2020-03-01,51,False
2020-03-08,32,False
2020-03-15,37,False
2020-03-22,47,False
2020-03-29,39,False
2020-04-05,43,False
2020-04-12,22,False
2020-04-19,32,False
2020-04-26,47,False
2020-05-03,48,False
2020-05-10,64,False
