geoName,geoCode,Poolheizung Solar
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,64
Salzburg,AT-5,0
Styria,AT-6,100
Tyrol,AT-7,26
Upper Austria,AT-4,54
Vienna,AT-9,25
Vorarlberg,AT-8,0
