geoName,geoCode,video auguri buon compleanno
Abruzzo,IT-65,44
Aosta,IT-23,0
Apulia,IT-75,67
Basilicata,IT-77,0
Calabria,IT-78,100
Campania,IT-72,64
Emilia-Romagna,IT-45,25
Friuli-Venezia Giulia,IT-36,28
Lazio,IT-62,42
Liguria,IT-42,34
Lombardy,IT-25,61
Marche,IT-57,58
Molise,IT-67,0
Piedmont,IT-21,45
Sardinia,IT-88,36
Sicily,IT-82,50
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,66
Umbria,IT-55,0
Veneto,IT-34,46
