geoName,geoCode,Holzbau
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,70
Berlin,DE-BE,18
Brandenburg,DE-BB,34
Bremen,DE-HB,34
Hamburg,DE-HH,21
Hesse,DE-HE,42
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,37
North Rhine-Westphalia,DE-NW,28
Rhineland-Palatinate,DE-RP,46
Saarland,DE-SL,20
Saxony,DE-SN,29
Saxony-Anhalt,DE-ST,22
Schleswig-Holstein,DE-SH,34
Thuringia,DE-TH,43
