geoName,geoCode,Holzbau
Burgenland,AT-1,42
Carinthia,AT-2,58
Lower Austria,AT-3,32
Salzburg,AT-5,71
Styria,AT-6,50
Tyrol,AT-7,55
Upper Austria,AT-4,44
Vienna,AT-9,18
Vorarlberg,AT-8,100
