geoName,geoCode,Blechbearbeitung
Baden-Württemberg,DE-BW,87
Bavaria,DE-BY,37
Berlin,DE-BE,40
Brandenburg,DE-BB,29
Bremen,DE-HB,84
Hamburg,DE-HH,53
Hesse,DE-HE,30
Lower Saxony,DE-NI,29
Mecklenburg-Vorpommern,DE-MV,48
North Rhine-Westphalia,DE-NW,24
Rhineland-Palatinate,DE-RP,20
Saarland,DE-SL,0
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,89
Schleswig-Holstein,DE-SH,35
Thuringia,DE-TH,59
