Year,ticket_geo_region_name,Type,sub_type,Percentage
2018,Abruzzo,Spese,Cura della Casa,0.66
2018,Abruzzo,Outdoor,Cura giardino,0.44
2018,Abruzzo,Benessere e Tempo Libero,Lezioni di inglese,0.38
2018,Abruzzo,Cura della Casa,Aria Condizionata,0.42
2018,Basilicata,Spese,Outdoor,0.41
2018,Basilicata,Outdoor,Installazione tende da sole,0.41
2018,Basilicata,Benessere e Tempo Libero,Lezioni di inglese,0.43
2018,Basilicata,Cura della Casa,Imbianchino,0.39
2018,Calabria,Spese,Benessere e Tempo Libero,0.79
2018,Calabria,Outdoor,Installazione tende da sole,0.34
2018,Calabria,Benessere e Tempo Libero,Lezioni di inglese,0.35
2018,Calabria,Cura della Casa,Aria Condizionata,0.39
2018,Campania,Spese,Benessere e Tempo Libero,0.72
2018,Campania,Outdoor,Installazione tende da sole,0.37
2018,Campania,Benessere e Tempo Libero,Lezioni di inglese,0.36
2018,Campania,Cura della Casa,Aria Condizionata,0.42
2018,Emilia-Romagna,Spese,Benessere e Tempo Libero,0.49
2018,Emilia-Romagna,Outdoor,Cura giardino,0.51
2018,Emilia-Romagna,Benessere e Tempo Libero,Personal trainer,0.42
2018,Emilia-Romagna,Cura della Casa,Aria Condizionata,0.46
2018,Friuli Venezia Giulia,Spese,Benessere e Tempo Libero,0.48
2018,Friuli Venezia Giulia,Outdoor,Cura giardino,0.63
2018,Friuli Venezia Giulia,Benessere e Tempo Libero,Personal trainer,0.42
2018,Friuli Venezia Giulia,Cura della Casa,Imbianchino,0.42
2018,Italia,Spese,Benessere e Tempo Libero,0.53
2018,Italia,Outdoor,Cura giardino,0.46
2018,Italia,Benessere e Tempo Libero,Personal trainer,0.39
2018,Italia,Cura della Casa,Aria Condizionata,0.42
2018,Lazio,Spese,Benessere e Tempo Libero,0.49
2018,Lazio,Outdoor,Cura giardino,0.52
2018,Lazio,Benessere e Tempo Libero,Personal trainer,0.44
2018,Lazio,Cura della Casa,Aria Condizionata,0.43
2018,Liguria,Spese,Benessere e Tempo Libero,0.48
2018,Liguria,Outdoor,Installazione tende da sole,0.41
2018,Liguria,Benessere e Tempo Libero,Personal trainer,0.43
2018,Liguria,Cura della Casa,Aria Condizionata,0.5
2018,Lombardia,Spese,Benessere e Tempo Libero,0.49
2018,Lombardia,Outdoor,Cura giardino,0.54
2018,Lombardia,Benessere e Tempo Libero,Personal trainer,0.4
2018,Lombardia,Cura della Casa,Imbianchino,0.43
2018,Marche,Spese,Benessere e Tempo Libero,0.54
2018,Marche,Outdoor,Cura giardino,0.46
2018,Marche,Benessere e Tempo Libero,Personal trainer,0.39
2018,Marche,Cura della Casa,Aria Condizionata,0.42
2018,Molise,Spese,Benessere e Tempo Libero,0.54
2018,Molise,Outdoor,Cura giardino,0.41
2018,Molise,Benessere e Tempo Libero,Personal trainer,0.43
2018,Molise,Cura della Casa,Imbianchino,0.42
2018,Piemonte,Spese,Benessere e Tempo Libero,0.52
2018,Piemonte,Outdoor,Cura giardino,0.49
2018,Piemonte,Benessere e Tempo Libero,Personal trainer,0.41
2018,Piemonte,Cura della Casa,Imbianchino,0.42
2018,Puglia,Spese,Benessere e Tempo Libero,0.59
2018,Puglia,Outdoor,Installazione tende da sole,0.34
2018,Puglia,Benessere e Tempo Libero,Personal trainer,0.35
2018,Puglia,Cura della Casa,Imbianchino,0.43
2018,Sardegna,Spese,Benessere e Tempo Libero,0.51
2018,Sardegna,Outdoor,Cura giardino,0.35
2018,Sardegna,Benessere e Tempo Libero,Personal trainer,0.37
2018,Sardegna,Cura della Casa,Aria Condizionata,0.57
2018,Sicilia,Spese,Benessere e Tempo Libero,0.61
2018,Sicilia,Outdoor,Cura giardino,0.29
2018,Sicilia,Benessere e Tempo Libero,Lezioni di inglese,0.37
2018,Sicilia,Cura della Casa,Aria Condizionata,0.43
2018,Toscana,Spese,Benessere e Tempo Libero,0.54
2018,Toscana,Outdoor,Cura giardino,0.51
2018,Toscana,Benessere e Tempo Libero,Personal trainer,0.39
2018,Toscana,Cura della Casa,Aria Condizionata,0.44
2018,Trentino-Alto Adige,Spese,Benessere e Tempo Libero,0.59
2018,Trentino-Alto Adige,Outdoor,Installazione tende da sole,0.48
2018,Trentino-Alto Adige,Benessere e Tempo Libero,Personal trainer,0.4
2018,Trentino-Alto Adige,Cura della Casa,Imbianchino,0.47
2018,Umbria,Spese,Benessere e Tempo Libero,0.59
2018,Umbria,Outdoor,Cura giardino,0.42
2018,Umbria,Benessere e Tempo Libero,Lezioni di inglese,0.35
2018,Umbria,Cura della Casa,Aria Condizionata,0.41
2018,Valle d'Aosta,Spese,Benessere e Tempo Libero,0.55
2018,Valle d'Aosta,Outdoor,Cura giardino,0.56
2018,Valle d'Aosta,Benessere e Tempo Libero,Personal trainer,0.43
2018,Valle d'Aosta,Cura della Casa,Imbianchino,0.54
2018,Veneto,Spese,Benessere e Tempo Libero,0.51
2018,Veneto,Outdoor,Cura giardino,0.51
2018,Veneto,Benessere e Tempo Libero,Personal trainer,0.38
2018,Veneto,Cura della Casa,Imbianchino,0.45
2019,Abruzzo,Spese,Benessere e Tempo Libero,0.58
2019,Abruzzo,Outdoor,Cura giardino,0.46
2019,Abruzzo,Benessere e Tempo Libero,Lezioni di inglese,0.38
2019,Abruzzo,Cura della Casa,Aria Condizionata,0.43
2019,Basilicata,Spese,Benessere e Tempo Libero,0.65
2019,Basilicata,Outdoor,Installazione pannelli solari,0.37
2019,Basilicata,Benessere e Tempo Libero,Lezioni di inglese,0.43
2019,Basilicata,Cura della Casa,Imbianchino,0.49
2019,Calabria,Spese,Benessere e Tempo Libero,0.64
2019,Calabria,Outdoor,Installazione pannelli solari,0.29
2019,Calabria,Benessere e Tempo Libero,Psicologo,0.41
2019,Calabria,Cura della Casa,Aria Condizionata,0.47
2019,Campania,Spese,Benessere e Tempo Libero,0.69
2019,Campania,Outdoor,Cura giardino,0.33
2019,Campania,Benessere e Tempo Libero,Psicologo,0.35
2019,Campania,Cura della Casa,Aria Condizionata,0.52
2019,Emilia-Romagna,Spese,Benessere e Tempo Libero,0.54
2019,Emilia-Romagna,Outdoor,Cura giardino,0.44
2019,Emilia-Romagna,Benessere e Tempo Libero,Lezioni di inglese,0.35
2019,Emilia-Romagna,Cura della Casa,Aria Condizionata,0.49
2019,Friuli Venezia Giulia,Spese,Benessere e Tempo Libero,0.5
2019,Friuli Venezia Giulia,Outdoor,Cura giardino,0.53
2019,Friuli Venezia Giulia,Benessere e Tempo Libero,Lezioni di inglese,0.36
2019,Friuli Venezia Giulia,Cura della Casa,Aria Condizionata,0.51
2019,Italia,Spese,Benessere e Tempo Libero,0.55
2019,Italia,Outdoor,Cura giardino,0.42
2019,Italia,Benessere e Tempo Libero,Lezioni di inglese,0.35
2019,Italia,Cura della Casa,Aria Condizionata,0.5
2019,Lazio,Spese,Benessere e Tempo Libero,0.54
2019,Lazio,Outdoor,Cura giardino,0.43
2019,Lazio,Benessere e Tempo Libero,Psicologo,0.35
2019,Lazio,Cura della Casa,Aria Condizionata,0.49
2019,Liguria,Spese,Benessere e Tempo Libero,0.47
2019,Liguria,Outdoor,Cura giardino,0.37
2019,Liguria,Benessere e Tempo Libero,Lezioni di inglese,0.38
2019,Liguria,Cura della Casa,Aria Condizionata,0.62
2019,Lombardia,Spese,Benessere e Tempo Libero,0.51
2019,Lombardia,Outdoor,Cura giardino,0.49
2019,Lombardia,Benessere e Tempo Libero,Lezioni di inglese,0.36
2019,Lombardia,Cura della Casa,Aria Condizionata,0.49
2019,Marche,Spese,Benessere e Tempo Libero,0.58
2019,Marche,Outdoor,Cura giardino,0.47
2019,Marche,Benessere e Tempo Libero,Lezioni di inglese,0.35
2019,Marche,Cura della Casa,Aria Condizionata,0.45
2019,Molise,Spese,Benessere e Tempo Libero,0.58
2019,Molise,Outdoor,Cura giardino,0.41
2019,Molise,Benessere e Tempo Libero,Personal trainer,0.37
2019,Molise,Cura della Casa,Aria Condizionata,0.45
2019,Piemonte,Spese,Benessere e Tempo Libero,0.54
2019,Piemonte,Outdoor,Cura giardino,0.5
2019,Piemonte,Benessere e Tempo Libero,Personal trainer,0.34
2019,Piemonte,Cura della Casa,Aria Condizionata,0.52
2019,Puglia,Spese,Benessere e Tempo Libero,0.63
2019,Puglia,Outdoor,Installazione piscina,0.35
2019,Puglia,Benessere e Tempo Libero,Psicologo,0.35
2019,Puglia,Cura della Casa,Aria Condizionata,0.45
2019,Sardegna,Spese,Benessere e Tempo Libero,0.52
2019,Sardegna,Outdoor,Cura giardino,0.28
2019,Sardegna,Benessere e Tempo Libero,Lezioni di inglese,0.36
2019,Sardegna,Cura della Casa,Aria Condizionata,0.61
2019,Sicilia,Spese,Benessere e Tempo Libero,0.63
2019,Sicilia,Outdoor,Installazione piscina,0.33
2019,Sicilia,Benessere e Tempo Libero,Lezioni di inglese,0.37
2019,Sicilia,Cura della Casa,Aria Condizionata,0.56
2019,Toscana,Spese,Benessere e Tempo Libero,0.55
2019,Toscana,Outdoor,Cura giardino,0.46
2019,Toscana,Benessere e Tempo Libero,Lezioni di inglese,0.36
2019,Toscana,Cura della Casa,Aria Condizionata,0.53
2019,Trentino-Alto Adige,Spese,Benessere e Tempo Libero,0.55
2019,Trentino-Alto Adige,Outdoor,Installazione tende da sole,0.46
2019,Trentino-Alto Adige,Benessere e Tempo Libero,Psicologo,0.33
2019,Trentino-Alto Adige,Cura della Casa,Aria Condizionata,0.48
2019,Umbria,Spese,Benessere e Tempo Libero,0.61
2019,Umbria,Outdoor,Cura giardino,0.45
2019,Umbria,Benessere e Tempo Libero,Lezioni di inglese,0.42
