Year,ticket_geo_region_name,Prof_type,Distribution
2019,Liguria,Lezioni di inglese,0.38
2019,Liguria,Personal trainer,0.3
2019,Liguria,Psicologo,0.29
2019,Liguria,Riparazione console videogiochi,0.04
2019,Lombardia,Lezioni di inglese,0.36
2019,Lombardia,Personal trainer,0.32
2019,Lombardia,Psicologo,0.29
2019,Lombardia,Riparazione console videogiochi,0.03
2019,Marche,Lezioni di inglese,0.35
2019,Marche,Personal trainer,0.3
2019,Marche,Psicologo,0.33
2019,Marche,Riparazione console videogiochi,0.02
2019,Molise,Lezioni di inglese,0.32
2019,Molise,Personal trainer,0.37
2019,Molise,Psicologo,0.31
2019,Molise,Riparazione console videogiochi,0.0
2019,Piemonte,Lezioni di inglese,0.32
2019,Piemonte,Personal trainer,0.34
2019,Piemonte,Psicologo,0.31
2019,Piemonte,Riparazione console videogiochi,0.03
2019,Sardegna,Lezioni di inglese,0.36
2019,Sardegna,Personal trainer,0.27
2019,Sardegna,Psicologo,0.32
2019,Sardegna,Riparazione console videogiochi,0.05
2019,Sicilia,Lezioni di inglese,0.37
2019,Sicilia,Personal trainer,0.25
2019,Sicilia,Psicologo,0.35
2019,Sicilia,Riparazione console videogiochi,0.04
2019,Trentino-Alto Adige,Lezioni di inglese,0.31
2019,Trentino-Alto Adige,Personal trainer,0.32
2019,Trentino-Alto Adige,Psicologo,0.33
2019,Trentino-Alto Adige,Riparazione console videogiochi,0.04
2019,Toscana,Lezioni di inglese,0.36
2019,Toscana,Personal trainer,0.33
2019,Toscana,Psicologo,0.29
2019,Toscana,Riparazione console videogiochi,0.02
2019,Umbria,Lezioni di inglese,0.42
2019,Umbria,Personal trainer,0.25
2019,Umbria,Psicologo,0.28
2019,Umbria,Riparazione console videogiochi,0.05
2019,Veneto,Lezioni di inglese,0.36
2019,Veneto,Personal trainer,0.3
2019,Veneto,Psicologo,0.3
2019,Veneto,Riparazione console videogiochi,0.04
2020,Abruzzo,Lezioni di inglese,0.26
2020,Abruzzo,Personal trainer,0.28
2020,Abruzzo,Psicologo,0.36
2020,Abruzzo,Riparazione console videogiochi,0.1
2020,Valle d'Aosta,Lezioni di inglese,0.13
2020,Valle d'Aosta,Personal trainer,0.36
2020,Valle d'Aosta,Psicologo,0.47
2020,Valle d'Aosta,Riparazione console videogiochi,0.04
2020,Puglia,Lezioni di inglese,0.24
2020,Puglia,Personal trainer,0.28
2020,Puglia,Psicologo,0.4
2020,Puglia,Riparazione console videogiochi,0.09
2020,Basilicata,Lezioni di inglese,0.29
2020,Basilicata,Personal trainer,0.23
2020,Basilicata,Psicologo,0.43
2020,Basilicata,Riparazione console videogiochi,0.05
2020,Calabria,Lezioni di inglese,0.24
2020,Calabria,Personal trainer,0.25
2020,Calabria,Psicologo,0.46
2020,Calabria,Riparazione console videogiochi,0.05
2020,Campania,Lezioni di inglese,0.23
2020,Campania,Personal trainer,0.29
2020,Campania,Psicologo,0.4
2020,Campania,Riparazione console videogiochi,0.08
2020,Emilia-Romagna,Lezioni di inglese,0.21
2020,Emilia-Romagna,Personal trainer,0.31
2020,Emilia-Romagna,Psicologo,0.37
2020,Emilia-Romagna,Riparazione console videogiochi,0.1
2020,Friuli Venezia Giulia,Lezioni di inglese,0.19
2020,Friuli Venezia Giulia,Personal trainer,0.42
2020,Friuli Venezia Giulia,Psicologo,0.33
2020,Friuli Venezia Giulia,Riparazione console videogiochi,0.06
2020,Italia,Lezioni di inglese,0.22
2020,Italia,Personal trainer,0.3
2020,Italia,Psicologo,0.38
2020,Italia,Riparazione console videogiochi,0.1
2020,Lazio,Lezioni di inglese,0.18
2020,Lazio,Personal trainer,0.28
2020,Lazio,Psicologo,0.39
2020,Lazio,Riparazione console videogiochi,0.16
2020,Liguria,Lezioni di inglese,0.23
2020,Liguria,Personal trainer,0.29
2020,Liguria,Psicologo,0.36
2020,Liguria,Riparazione console videogiochi,0.12
2020,Lombardia,Lezioni di inglese,0.23
2020,Lombardia,Personal trainer,0.32
2020,Lombardia,Psicologo,0.37
2020,Lombardia,Riparazione console videogiochi,0.08
2020,Marche,Lezioni di inglese,0.24
2020,Marche,Personal trainer,0.32
2020,Marche,Psicologo,0.39
2020,Marche,Riparazione console videogiochi,0.05
2020,Molise,Lezioni di inglese,0.16
2020,Molise,Personal trainer,0.48
2020,Molise,Psicologo,0.35
2020,Molise,Riparazione console videogiochi,0.01
2020,Piemonte,Lezioni di inglese,0.19
2020,Piemonte,Personal trainer,0.33
2020,Piemonte,Psicologo,0.4
2020,Piemonte,Riparazione console videogiochi,0.08
2020,Sardegna,Lezioni di inglese,0.21
