year,ticket_geo_region_name,Category_type,Distribution
2018,Abruzzo,Cura della Casa,0.66
2018,Abruzzo,Outdoor,0.28
2018,Abruzzo,Benessere e Tempo Libero,0.05
2018,Basilicata,Cura della Casa,0.30
2018,Basilicata,Outdoor,0.41
2018,Basilicata,Benessere e Tempo Libero,0.29
2018,Calabria,Cura della Casa,0.14
2018,Calabria,Outdoor,0.08
2018,Calabria,Benessere e Tempo Libero,0.79
2018,Campania,Cura della Casa,0.20
2018,Campania,Outdoor,0.08
2018,Campania,Benessere e Tempo Libero,0.72
2018,Emilia-Romagna,Cura della Casa,0.41
2018,Emilia-Romagna,Outdoor,0.10
2018,Emilia-Romagna,Benessere e Tempo Libero,0.49
2018,Friuli Venezia Giulia,Cura della Casa,0.41
2018,Friuli Venezia Giulia,Outdoor,0.11
2018,Friuli Venezia Giulia,Benessere e Tempo Libero,0.48
2018,Italia,Cura della Casa,0.36
2018,Italia,Outdoor,0.12
2018,Italia,Benessere e Tempo Libero,0.53
2018,Lazio,Cura della Casa,0.38
2018,Lazio,Outdoor,0.13
2018,Lazio,Benessere e Tempo Libero,0.49
2018,Liguria,Cura della Casa,0.41
2018,Liguria,Outdoor,0.11
2018,Liguria,Benessere e Tempo Libero,0.48
2018,Lombardia,Cura della Casa,0.42
2018,Lombardia,Outdoor,0.09
2018,Lombardia,Benessere e Tempo Libero,0.49
2018,Marche,Cura della Casa,0.35
2018,Marche,Outdoor,0.12
2018,Marche,Benessere e Tempo Libero,0.54
2018,Molise,Cura della Casa,0.36
2018,Molise,Outdoor,0.11
2018,Molise,Benessere e Tempo Libero,0.54
2018,Piemonte,Cura della Casa,0.38
2018,Piemonte,Outdoor,0.09
2018,Piemonte,Benessere e Tempo Libero,0.52
2018,Puglia,Cura della Casa,0.28
2018,Puglia,Outdoor,0.13
2018,Puglia,Benessere e Tempo Libero,0.59
2018,Sardegna,Cura della Casa,0.37
2018,Sardegna,Outdoor,0.12
2018,Sardegna,Benessere e Tempo Libero,0.51
2018,Sicilia,Cura della Casa,0.25
2018,Sicilia,Outdoor,0.14
2018,Sicilia,Benessere e Tempo Libero,0.61
2018,Toscana,Cura della Casa,0.36
2018,Toscana,Outdoor,0.10
2018,Toscana,Benessere e Tempo Libero,0.54
2018,Trentino-Alto Adige,Cura della Casa,0.33
2018,Trentino-Alto Adige,Outdoor,0.08
2018,Trentino-Alto Adige,Benessere e Tempo Libero,0.59
2018,Umbria,Cura della Casa,0.29
2018,Umbria,Outdoor,0.12
2018,Umbria,Benessere e Tempo Libero,0.59
2018,Valle d'Aosta,Cura della Casa,0.41
2018,Valle d'Aosta,Outdoor,0.04
2018,Valle d'Aosta,Benessere e Tempo Libero,0.55
2018,Veneto,Cura della Casa,0.38
2018,Veneto,Outdoor,0.11
2018,Veneto,Benessere e Tempo Libero,0.51
2019,Abruzzo,Cura della Casa,0.31
2019,Abruzzo,Outdoor,0.11
2019,Abruzzo,Benessere e Tempo Libero,0.58
2019,Basilicata,Cura della Casa,0.24
2019,Basilicata,Outdoor,0.11
2019,Basilicata,Benessere e Tempo Libero,0.65
2019,Calabria,Cura della Casa,0.24
2019,Calabria,Outdoor,0.12
2019,Calabria,Benessere e Tempo Libero,0.64
2019,Campania,Cura della Casa,0.23
2019,Campania,Outdoor,0.08
2019,Campania,Benessere e Tempo Libero,0.69
2019,Emilia-Romagna,Cura della Casa,0.37
2019,Emilia-Romagna,Outdoor,0.10
2019,Emilia-Romagna,Benessere e Tempo Libero,0.54
2019,Friuli Venezia Giulia,Cura della Casa,0.39
2019,Friuli Venezia Giulia,Outdoor,0.11
2019,Friuli Venezia Giulia,Benessere e Tempo Libero,0.50
2019,Italia,Cura della Casa,0.35
2019,Italia,Outdoor,0.10
2019,Italia,Benessere e Tempo Libero,0.55
2019,Lazio,Cura della Casa,0.35
