geoName,geoCode,Registradores
Andalusia,ES-AN,70
Aragon,ES-AR,63
Asturias,ES-AS,96
Balearic Islands,ES-IB,86
Basque Country,ES-PV,47
Canary Islands,ES-CN,57
Cantabria,ES-CB,45
Castile and León,ES-CL,53
Castile-La Mancha,ES-CM,60
Catalonia,ES-CT,90
Ceuta,ES-CE,0
Community of Madrid,ES-MD,90
Extremadura,ES-EX,70
Galicia,ES-GA,77
La Rioja,ES-RI,64
Melilla,ES-ML,96
Navarre,ES-NC,51
Region of Murcia,ES-MC,53
Valencian Community,ES-VC,100
