,geoName,psychologue scolaire
3,Brittany,23.75
5,Centre-Val de Loire,100.0
7,Corsica,0.0
15,Pays de la Loire,56.25
18,Provence-Alpes-Côte d'Azur,22.5
21,Île-de-France,37.5
22,Grand-est,24.583333333333336
23,Hauts-de-france,70.625
24,Normandie,62.5
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,8.75
27,Occitanie,57.49999999999999
28,Auvergne-Rhône-Alpes,18.75
