geoName,geoCode,Photovoltaikanlage
Burgenland,AT-1,0
Carinthia,AT-2,29
Lower Austria,AT-3,59
Salzburg,AT-5,100
Styria,AT-6,73
Tyrol,AT-7,42
Upper Austria,AT-4,83
Vienna,AT-9,32
Vorarlberg,AT-8,37
