geoName,geoCode,Fensterbau
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,34
Salzburg,AT-5,27
Styria,AT-6,10
Tyrol,AT-7,36
Upper Austria,AT-4,11
Vienna,AT-9,7
Vorarlberg,AT-8,100
