geoName,geoCode,Popolare
Abruzzo,IT-65,73
Aosta,IT-23,26
Apulia,IT-75,94
Basilicata,IT-77,100
Calabria,IT-78,30
Campania,IT-72,47
Emilia-Romagna,IT-45,56
Friuli-Venezia Giulia,IT-36,28
Lazio,IT-62,53
Liguria,IT-42,56
Lombardy,IT-25,70
Marche,IT-57,30
Molise,IT-67,61
Piedmont,IT-21,41
Sardinia,IT-88,13
Sicily,IT-82,46
Trentino-Alto Adige/South Tyrol,IT-32,39
Tuscany,IT-52,44
Umbria,IT-55,37
Veneto,IT-34,53
