geoName,geoCode,Gartengestaltung
Burgenland,AT-1,100
Carinthia,AT-2,36
Lower Austria,AT-3,57
Salzburg,AT-5,42
Styria,AT-6,52
Tyrol,AT-7,33
Upper Austria,AT-4,48
Vienna,AT-9,29
Vorarlberg,AT-8,48
