ticket_geo_region_name,ticket_taxonomy_tag_name,year,Rank,Max,Min,Demand_factor_max_to_min
Austria,Bad,2018,1,5,8,1.67
Austria,Garten,2018,2,3,11,5.2
Austria,Fenster,2018,3,1,9,1.52
Austria,Elektro,2018,4,0,11,1.34
Austria,Solar,2018,5,2,11,1.76
Austria,Bad,2019,1,5,11,1.82
Austria,Garten,2019,2,3,11,4.2
Austria,Fenster,2019,3,5,10,1.68
Austria,Elektro,2019,4,2,7,1.62
Austria,Solar,2019,5,3,0,2.2
Austria,Bad,2020,1,6,3,2.1
Austria,Garten,2020,2,3,0,5.2
Austria,Fenster,2020,3,6,0,2.04
Austria,Balkon,2020,4,3,0,7.2
Austria,Elektro,2020,5,1,6,2.14
