geoName,geoCode,Boden verlegen
Baden-Württemberg,DE-BW,86
Bavaria,DE-BY,91
Berlin,DE-BE,59
Brandenburg,DE-BB,82
Bremen,DE-HB,0
Hamburg,DE-HH,56
Hesse,DE-HE,81
Lower Saxony,DE-NI,47
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,93
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,0
Saxony,DE-SN,48
Saxony-Anhalt,DE-ST,67
Schleswig-Holstein,DE-SH,25
Thuringia,DE-TH,51
