date,piscine intérieure,isPartial
2018-01-07,62,False
2018-01-14,59,False
2018-01-21,84,False
2018-01-28,76,False
2018-02-04,92,False
2018-02-11,68,False
2018-02-18,66,False
2018-02-25,58,False
2018-03-04,54,False
2018-03-11,61,False
2018-03-18,63,False
2018-03-25,49,False
2018-04-01,36,False
2018-04-08,39,False
2018-04-15,40,False
2018-04-22,32,False
2018-04-29,54,False
2018-05-06,50,False
2018-05-13,29,False
2018-05-20,34,False
2018-05-27,29,False
2018-06-03,37,False
2018-06-10,28,False
2018-06-17,28,False
2018-06-24,26,False
2018-07-01,39,False
2018-07-08,28,False
2018-07-15,40,False
2018-07-22,55,False
2018-07-29,45,False
2018-08-05,43,False
2018-08-12,62,False
2018-08-19,83,False
2018-08-26,39,False
2018-09-02,54,False
2018-09-09,60,False
2018-09-16,80,False
2018-09-23,72,False
2018-09-30,60,False
2018-10-07,58,False
2018-10-14,56,False
2018-10-21,89,False
2018-10-28,64,False
2018-11-04,43,False
2018-11-11,58,False
2018-11-18,59,False
2018-11-25,45,False
2018-12-02,70,False
2018-12-09,51,False
2018-12-16,42,False
2018-12-23,100,False
2018-12-30,85,False
2019-01-06,81,False
2019-01-13,70,False
2019-01-20,77,False
2019-01-27,71,False
2019-02-03,45,False
2019-02-10,99,False
2019-02-17,52,False
2019-02-24,69,False
2019-03-03,65,False
2019-03-10,58,False
2019-03-17,76,False
2019-03-24,46,False
2019-03-31,64,False
2019-04-07,75,False
2019-04-14,56,False
2019-04-21,42,False
2019-04-28,47,False
2019-05-05,36,False
2019-05-12,43,False
2019-05-19,53,False
2019-05-26,41,False
2019-06-02,34,False
2019-06-09,34,False
2019-06-16,31,False
2019-06-23,42,False
2019-06-30,42,False
2019-07-07,44,False
2019-07-14,40,False
2019-07-21,32,False
2019-07-28,64,False
2019-08-04,52,False
2019-08-11,77,False
2019-08-18,54,False
2019-08-25,81,False
2019-09-01,73,False
2019-09-08,71,False
2019-09-15,76,False
2019-09-22,80,False
2019-09-29,84,False
2019-10-06,94,False
2019-10-13,71,False
2019-10-20,80,False
2019-10-27,65,False
2019-11-03,88,False
2019-11-10,75,False
2019-11-17,65,False
2019-11-24,55,False
2019-12-01,55,False
2019-12-08,44,False
2019-12-15,46,False
2019-12-22,96,False
2019-12-29,84,False
2020-01-05,83,False
2020-01-12,67,False
2020-01-19,75,False
2020-01-26,75,False
2020-02-02,82,False
2020-02-09,92,False
2020-02-16,79,False
2020-02-23,79,False
2020-03-01,59,False
2020-03-08,37,False
2020-03-15,31,False
2020-03-22,30,False
2020-03-29,35,False
2020-04-05,29,False
2020-04-12,34,False
2020-04-19,29,False
2020-04-26,27,False
2020-05-03,40,False
2020-05-10,42,False
2020-05-17,61,True
