geoName,geoCode,Pvc Bodenbelag
Baden-Württemberg,DE-BW,33
Bavaria,DE-BY,33
Berlin,DE-BE,55
Brandenburg,DE-BB,55
Bremen,DE-HB,0
Hamburg,DE-HH,40
Hesse,DE-HE,26
Lower Saxony,DE-NI,39
Mecklenburg-Vorpommern,DE-MV,55
North Rhine-Westphalia,DE-NW,32
Rhineland-Palatinate,DE-RP,40
Saarland,DE-SL,0
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,50
