geoName,geoCode,Installation climatisation
Brittany,FR-E,6.382978723404255
Centre-Val de Loire,FR-F,51.06382978723404
Corsica,FR-H,78.72340425531915
Pays de la Loire,FR-R,19.148936170212767
Provence-Alpes-Côte d'Azur,FR-U,78.72340425531915
Île-de-France,FR-J,40.42553191489361
Grand-est,FR-GE,52.4822695035461
Hauts-de-france,FR-HF,25.53191489361702
Normandie,FR-NO,9.574468085106384
Bourgogne-Franche-Comté,FR-BFC,42.5531914893617
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,80.85106382978722
Auvergne-Rhône-Alpes,FR-AR,84.04255319148936
