geoName,geoCode,Badumbau
Baden-Württemberg,DE-BW,32
Bavaria,DE-BY,53
Berlin,DE-BE,37
Brandenburg,DE-BB,27
Bremen,DE-HB,0
Hamburg,DE-HH,50
Hesse,DE-HE,43
Lower Saxony,DE-NI,35
Mecklenburg-Vorpommern,DE-MV,89
North Rhine-Westphalia,DE-NW,31
Rhineland-Palatinate,DE-RP,47
Saarland,DE-SL,0
Saxony,DE-SN,69
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,20
Thuringia,DE-TH,33
