geoName,geoCode,torta cacao
Abruzzo,IT-65,58
Aosta,IT-23,41
Apulia,IT-75,81
Basilicata,IT-77,56
Calabria,IT-78,82
Campania,IT-72,70
Emilia-Romagna,IT-45,59
Friuli-Venezia Giulia,IT-36,53
Lazio,IT-62,55
Liguria,IT-42,65
Lombardy,IT-25,73
Marche,IT-57,65
Molise,IT-67,58
Piedmont,IT-21,63
Sardinia,IT-88,85
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,52
Tuscany,IT-52,57
Umbria,IT-55,55
Veneto,IT-34,55
