geoName,geoCode,Fitnesstrainer
Baden-Württemberg,DE-BW,71
Bavaria,DE-BY,76
Berlin,DE-BE,64
Brandenburg,DE-BB,69
Bremen,DE-HB,65
Hamburg,DE-HH,68
Hesse,DE-HE,68
Lower Saxony,DE-NI,79
Mecklenburg-Vorpommern,DE-MV,58
North Rhine-Westphalia,DE-NW,73
Rhineland-Palatinate,DE-RP,49
Saarland,DE-SL,100
Saxony,DE-SN,43
Saxony-Anhalt,DE-ST,61
Schleswig-Holstein,DE-SH,76
Thuringia,DE-TH,73
