Year,ticket_geo_region_name,Type,Distribution
2018,Andalucía,menú de carnes,1.0
2018,Andalucía,menú vegetariano,
2018,Aragón,menú de carnes,1.0
2018,Aragón,menú vegetariano,
2018,Asturias,menú de carnes,1.0
2018,Asturias,menú vegetariano,
2018,Illes Balears,menú de carnes,
2018,Illes Balears,menú vegetariano,
2018,País Vasco,menú de carnes,1.0
2018,País Vasco,menú vegetariano,
2018,Islas Canarias,menú de carnes,1.0
2018,Islas Canarias,menú vegetariano,
2018,Cantabria,menú de carnes,1.0
2018,Cantabria,menú vegetariano,
2018,Castilla y León,menú de carnes,1.0
2018,Castilla y León,menú vegetariano,
2018,Castilla-La Mancha,menú de carnes,1.0
2018,Castilla-La Mancha,menú vegetariano,
2018,Cataluña,menú de carnes,1.0
2018,Cataluña,menú vegetariano,
2018,Ceuta,menú de carnes,
2018,Ceuta,menú vegetariano,
2018,Madrid,menú de carnes,1.0
2018,Madrid,menú vegetariano,
2018,Extremadura,menú de carnes,1.0
2018,Extremadura,menú vegetariano,
2018,Galicia,menú de carnes,1.0
2018,Galicia,menú vegetariano,
2018,La Rioja,menú de carnes,
2018,La Rioja,menú vegetariano,
2018,Melilla,menú de carnes,
2018,Melilla,menú vegetariano,
2018,Navarra,menú de carnes,1.0
2018,Navarra,menú vegetariano,
2018,Murcia,menú de carnes,
2018,Murcia,menú vegetariano,
2018,España,menú de carnes,0.96
2018,España,menú vegetariano,0.04
2018,Valencia,menú de carnes,1.0
2018,Valencia,menú vegetariano,
2019,Andalucía,menú de carnes,1.0
2019,Andalucía,menú vegetariano,
2019,Aragón,menú de carnes,1.0
2019,Aragón,menú vegetariano,
2019,Asturias,menú de carnes,1.0
2019,Asturias,menú vegetariano,
2019,Illes Balears,menú de carnes,
2019,Illes Balears,menú vegetariano,
2019,País Vasco,menú de carnes,1.0
2019,País Vasco,menú vegetariano,
2019,Islas Canarias,menú de carnes,1.0
2019,Islas Canarias,menú vegetariano,
2019,Cantabria,menú de carnes,1.0
2019,Cantabria,menú vegetariano,
2019,Castilla y León,menú de carnes,1.0
2019,Castilla y León,menú vegetariano,
2019,Castilla-La Mancha,menú de carnes,1.0
2019,Castilla-La Mancha,menú vegetariano,
2019,Cataluña,menú de carnes,1.0
2019,Cataluña,menú vegetariano,
2019,Ceuta,menú de carnes,
2019,Ceuta,menú vegetariano,
2019,Madrid,menú de carnes,1.0
2019,Madrid,menú vegetariano,
2019,Extremadura,menú de carnes,1.0
2019,Extremadura,menú vegetariano,
2019,Galicia,menú de carnes,1.0
2019,Galicia,menú vegetariano,
2019,La Rioja,menú de carnes,
2019,La Rioja,menú vegetariano,
2019,Melilla,menú de carnes,
2019,Melilla,menú vegetariano,
2019,Navarra,menú de carnes,1.0
2019,Navarra,menú vegetariano,
2019,Murcia,menú de carnes,
2019,Murcia,menú vegetariano,
2019,España,menú de carnes,0.95
2019,España,menú vegetariano,0.05
2019,Valencia,menú de carnes,1.0
2019,Valencia,menú vegetariano,
2020,Andalucía,menú de carnes,1.0
2020,Andalucía,menú vegetariano,
2020,Aragón,menú de carnes,1.0
2020,Aragón,menú vegetariano,
2020,Asturias,menú de carnes,1.0
2020,Asturias,menú vegetariano,
2020,Illes Balears,menú de carnes,
2020,Illes Balears,menú vegetariano,
2020,País Vasco,menú de carnes,1.0
2020,País Vasco,menú vegetariano,
2020,Islas Canarias,menú de carnes,
2020,Islas Canarias,menú vegetariano,
2020,Cantabria,menú de carnes,1.0
2020,Cantabria,menú vegetariano,
2020,Castilla y León,menú de carnes,1.0
2020,Castilla y León,menú vegetariano,
2020,Castilla-La Mancha,menú de carnes,1.0
2020,Castilla-La Mancha,menú vegetariano,
2020,Cataluña,menú de carnes,1.0
2020,Cataluña,menú vegetariano,
2020,Ceuta,menú de carnes,
2020,Ceuta,menú vegetariano,
2020,Madrid,menú de carnes,1.0
2020,Madrid,menú vegetariano,
2020,Extremadura,menú de carnes,1.0
2020,Extremadura,menú vegetariano,
2020,Galicia,menú de carnes,1.0
2020,Galicia,menú vegetariano,
2020,La Rioja,menú de carnes,
2020,La Rioja,menú vegetariano,
2020,Melilla,menú de carnes,
2020,Melilla,menú vegetariano,
2020,Navarra,menú de carnes,1.0
2020,Navarra,menú vegetariano,
2020,Murcia,menú de carnes,
2020,Murcia,menú vegetariano,
2020,España,menú de carnes,0.93
2020,España,menú vegetariano,0.07
2020,Valencia,menú de carnes,1.0
2020,Valencia,menú vegetariano,
