Year,ticket_geo_region_name,Spend_type,Distribution
2018,Andalucía,Premium,0.37
2018,Andalucía,Estándar,0.63
2018,Aragón,Premium,0.53
2018,Aragón,Estándar,0.47
2018,Asturias,Premium,0.57
2018,Asturias,Estándar,0.43
2018,Illes Balears,Premium,0.415
2018,Illes Balears,Estándar,0.585
2018,País Vasco,Premium,0.5329999999999999
2018,País Vasco,Estándar,0.467
2018,Islas Canarias,Premium,0.43
2018,Islas Canarias,Estándar,0.57
2018,Cantabria,Premium,0.44
2018,Cantabria,Estándar,0.56
2018,Castilla y León,Premium,0.465
2018,Castilla y León,Estándar,0.535
2018,Castilla-La Mancha,Premium,0.65
2018,Castilla-La Mancha,Estándar,0.35
2018,Cataluña,Premium,0.43
2018,Cataluña,Estándar,0.57
2018,Madrid,Premium,0.63
2018,Madrid,Estándar,0.37
2018,Extremadura,Premium,0.45
2018,Extremadura,Estándar,0.55
2018,Galicia,Premium,0.43
2018,Galicia,Estándar,0.57
2018,La Rioja,Premium,0.64
2018,La Rioja,Estándar,0.36
2018,Navarra,Premium,0.63
2018,Navarra,Estándar,0.37
2018,Murcia,Premium,0.63
2018,Murcia,Estándar,0.37
2018,España,Premium,0.513
2018,España,Estándar,0.48700000000000004
2018,Valencia,Premium,0.47
2018,Valencia,Estándar,0.53
2019,Andalucía,Premium,0.37
2019,Andalucía,Estándar,0.63
2019,Aragón,Premium,0.53
2019,Aragón,Estándar,0.47
2019,Asturias,Premium,0.57
2019,Asturias,Estándar,0.43
2019,Illes Balears,Premium,0.415
2019,Illes Balears,Estándar,0.585
2019,País Vasco,Premium,0.5329999999999999
2019,País Vasco,Estándar,0.467
2019,Islas Canarias,Premium,0.43
2019,Islas Canarias,Estándar,0.57
2019,Cantabria,Premium,0.44
2019,Cantabria,Estándar,0.56
2019,Castilla y León,Premium,0.465
2019,Castilla y León,Estándar,0.535
2019,Castilla-La Mancha,Premium,0.65
2019,Castilla-La Mancha,Estándar,0.35
2019,Cataluña,Premium,0.43
2019,Cataluña,Estándar,0.57
2019,Madrid,Premium,0.63
2019,Madrid,Estándar,0.37
2019,Extremadura,Premium,0.45
2019,Extremadura,Estándar,0.55
2019,Galicia,Premium,0.43
2019,Galicia,Estándar,0.57
2019,La Rioja,Premium,0.64
2019,La Rioja,Estándar,0.36
2019,Navarra,Premium,0.63
2019,Navarra,Estándar,0.37
2019,Murcia,Premium,0.63
2019,Murcia,Estándar,0.37
2019,España,Premium,0.513
2019,España,Estándar,0.48700000000000004
2019,Valencia,Premium,0.47
2019,Valencia,Estándar,0.53
2020,Andalucía,Premium,0.37
2020,Andalucía,Estándar,0.63
2020,Aragón,Premium,0.53
2020,Aragón,Estándar,0.47
2020,Asturias,Premium,0.57
2020,Asturias,Estándar,0.43
2020,Illes Balears,Premium,0.415
2020,Illes Balears,Estándar,0.585
2020,País Vasco,Premium,0.5329999999999999
2020,País Vasco,Estándar,0.467
2020,Islas Canarias,Premium,0.43
2020,Islas Canarias,Estándar,0.57
2020,Cantabria,Premium,0.44
2020,Cantabria,Estándar,0.56
2020,Castilla y León,Premium,0.465
2020,Castilla y León,Estándar,0.535
2020,Castilla-La Mancha,Premium,0.65
2020,Castilla-La Mancha,Estándar,0.35
2020,Cataluña,Premium,0.43
2020,Cataluña,Estándar,0.57
2020,Madrid,Premium,0.63
2020,Madrid,Estándar,0.37
2020,Extremadura,Premium,0.45
2020,Extremadura,Estándar,0.55
2020,Galicia,Premium,0.43
2020,Galicia,Estándar,0.57
2020,La Rioja,Premium,0.64
2020,La Rioja,Estándar,0.36
2020,Navarra,Premium,0.63
2020,Navarra,Estándar,0.37
2020,Murcia,Premium,0.63
2020,Murcia,Estándar,0.37
2020,España,Premium,0.513
2020,España,Estándar,0.48700000000000004
2020,Valencia,Premium,0.47
2020,Valencia,Estándar,0.53
