Year,ticket_geo_region_name,Type,sub_type,Percentage
2018,Andalucía,Gasto,Estandar,0.63
2018,Andalucía,Profesional más solicitado,fotógrafo de bodas,0.19
2018,Andalucía,Tipo de ceremonia,boda civil,0.79
2018,Andalucía,Lugar de la recepción,restaurante,0.37
2018,Andalucía,Comida,menú de carnes,1
2018,Andalucía,Estilo,original/alternativo,0.26
2018,Aragón,Gasto,Premium,0.53
2018,Aragón,Profesional más solicitado,fotógrafo de bodas,0.2
2018,Aragón,Tipo de ceremonia,boda civil,0.79
2018,Aragón,Lugar de la recepción,palacio/castillo,NA
2018,Aragón,Comida,menú de carnes,1
2018,Aragón,Estilo,tradicional,NA
2018,Asturias,Gasto,Premium,0.57
2018,Asturias,Profesional más solicitado,fotógrafo de bodas,0.2
2018,Asturias,Tipo de ceremonia,boda civil,0.67
2018,Asturias,Lugar de la recepción,palacio/castillo,1
2018,Asturias,Comida,menú de carnes,1
2018,Asturias,Estilo,tradicional,NA
2018,Illes Balears,Gasto,Estandar,0.585
2018,Illes Balears,Profesional más solicitado,fotógrafo de bodas,0.19
2018,Illes Balears,Tipo de ceremonia,boda civil,0.79
2018,Illes Balears,Lugar de la recepción,palacio/castillo,NA
2018,Illes Balears,Comida,menú de carnes,NA
2018,Illes Balears,Estilo,tradicional,NA
2018,País Vasco,Gasto,Premium,0.533
2018,País Vasco,Profesional más solicitado,fotógrafo de bodas,0.21
2018,País Vasco,Tipo de ceremonia,boda civil,0.811
2018,País Vasco,Lugar de la recepción,palacio/castillo,1
2018,País Vasco,Comida,menú de carnes,1
2018,País Vasco,Estilo,tradicional,NA
2018,Islas Canarias,Gasto,Estandar,0.57
2018,Islas Canarias,Profesional más solicitado,servicio de catering,0.19
2018,Islas Canarias,Tipo de ceremonia,boda civil,0.79
2018,Islas Canarias,Lugar de la recepción,finca/campo,1
2018,Islas Canarias,Comida,menú de carnes,1
2018,Islas Canarias,Estilo,tradicional,NA
2018,Cantabria,Gasto,Estandar,0.56
2018,Cantabria,Profesional más solicitado,fotógrafo de bodas,0.21
2018,Cantabria,Tipo de ceremonia,boda civil,0.79
2018,Cantabria,Lugar de la recepción,palacio/castillo,1
2018,Cantabria,Comida,menú de carnes,1
2018,Cantabria,Estilo,tradicional,NA
2018,Castilla y León,Gasto,Estandar,0.535
2018,Castilla y León,Profesional más solicitado,fotógrafo de bodas,0.19
2018,Castilla y León,Tipo de ceremonia,boda civil,0.825
2018,Castilla y León,Lugar de la recepción,palacio/castillo,0.71
2018,Castilla y León,Comida,menú de carnes,1
2018,Castilla y León,Estilo,tradicional,NA
2018,Castilla-La Mancha,Gasto,Premium,0.65
2018,Castilla-La Mancha,Profesional más solicitado,fotógrafo de bodas,0.2
2018,Castilla-La Mancha,Tipo de ceremonia,boda civil,0.85
2018,Castilla-La Mancha,Lugar de la recepción,finca/campo,1
2018,Castilla-La Mancha,Comida,menú de carnes,1
2018,Castilla-La Mancha,Estilo,tradicional,NA
