date,Bautrockner,isPartial
2018-01-07,48,False
2018-01-14,79,False
2018-01-21,40,False
2018-01-28,59,False
2018-02-04,37,False
2018-02-11,51,False
2018-02-18,100,False
2018-02-25,57,False
2018-03-04,50,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,40,False
2018-04-01,27,False
2018-04-08,51,False
2018-04-15,60,False
2018-04-22,50,False
2018-04-29,26,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,26,False
2018-05-27,70,False
2018-06-03,91,False
2018-06-10,55,False
2018-06-17,71,False
2018-06-24,48,False
2018-07-01,24,False
2018-07-08,47,False
2018-07-15,71,False
2018-07-22,56,False
2018-07-29,37,False
2018-08-05,43,False
2018-08-12,54,False
2018-08-19,40,False
2018-08-26,35,False
2018-09-02,52,False
2018-09-09,50,False
2018-09-16,50,False
2018-09-23,25,False
2018-09-30,50,False
2018-10-07,49,False
2018-10-14,49,False
2018-10-21,33,False
2018-10-28,66,False
2018-11-04,39,False
2018-11-11,32,False
2018-11-18,62,False
2018-11-25,55,False
2018-12-02,35,False
2018-12-09,55,False
2018-12-16,41,False
2018-12-23,38,False
2018-12-30,51,False
2019-01-06,45,False
2019-01-13,37,False
2019-01-20,52,False
2019-01-27,67,False
2019-02-03,22,False
2019-02-10,38,False
2019-02-17,57,False
2019-02-24,24,False
2019-03-03,39,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,61,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,46,False
2019-05-19,30,False
2019-05-26,56,False
2019-06-02,32,False
2019-06-09,41,False
2019-06-16,33,False
2019-06-23,72,False
2019-06-30,35,False
2019-07-07,44,False
2019-07-14,58,False
2019-07-21,49,False
2019-07-28,48,False
2019-08-04,58,False
2019-08-11,38,False
2019-08-18,38,False
2019-08-25,33,False
2019-09-01,47,False
2019-09-08,35,False
2019-09-15,23,False
2019-09-22,53,False
2019-09-29,46,False
2019-10-06,44,False
2019-10-13,56,False
2019-10-20,52,False
2019-10-27,81,False
2019-11-03,64,False
2019-11-10,55,False
2019-11-17,80,False
2019-11-24,86,False
2019-12-01,67,False
2019-12-08,52,False
2019-12-15,30,False
2019-12-22,52,False
2019-12-29,72,False
2020-01-05,63,False
2020-01-12,28,False
2020-01-19,49,False
2020-01-26,49,False
2020-02-02,41,False
2020-02-09,47,False
2020-02-16,43,False
2020-02-23,42,False
2020-03-01,34,False
2020-03-08,29,False
2020-03-15,19,False
2020-03-22,38,False
2020-03-29,19,False
2020-04-05,52,False
2020-04-12,40,False
2020-04-19,32,False
2020-04-26,28,False
2020-05-03,29,False
2020-05-10,19,False
