geoName,geoCode,Bautrockner
Baden-Württemberg,DE-BW,56
Bavaria,DE-BY,39
Berlin,DE-BE,47
Brandenburg,DE-BB,52
Bremen,DE-HB,76
Hamburg,DE-HH,87
Hesse,DE-HE,30
Lower Saxony,DE-NI,70
Mecklenburg-Vorpommern,DE-MV,65
North Rhine-Westphalia,DE-NW,57
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,89
Saxony,DE-SN,24
Saxony-Anhalt,DE-ST,32
Schleswig-Holstein,DE-SH,38
Thuringia,DE-TH,0
