date,pastel boda,boda fotografo,boda vestido,flores boda,lugares para bodas,isPartial
2018-01-07,0,0,24,6,0,False
2018-01-14,0,0,22,6,0,False
2018-01-21,0,0,9,0,0,False
2018-01-28,0,0,12,6,0,False
2018-02-04,0,0,6,6,0,False
2018-02-11,0,0,19,0,0,False
2018-02-18,0,0,16,0,0,False
2018-02-25,0,0,15,6,0,False
2018-03-04,0,0,21,12,0,False
2018-03-11,0,0,9,0,0,False
2018-03-18,0,0,18,0,0,False
2018-03-25,0,0,20,0,0,False
2018-04-01,0,0,24,24,0,False
2018-04-08,0,0,21,6,0,False
2018-04-15,0,0,22,6,0,False
2018-04-22,0,0,25,6,0,False
2018-04-29,0,0,18,0,0,False
2018-05-06,0,0,25,9,0,False
2018-05-13,0,0,26,6,0,False
2018-05-20,0,0,44,6,0,False
2018-05-27,0,0,16,13,0,False
2018-06-03,0,0,24,0,0,False
2018-06-10,0,0,36,12,0,False
2018-06-17,0,0,13,7,0,False
2018-06-24,0,0,60,0,0,False
2018-07-01,0,0,26,7,0,False
2018-07-08,0,0,13,6,0,False
2018-07-15,0,0,10,14,0,False
2018-07-22,0,0,30,7,0,False
2018-07-29,0,0,23,7,0,False
2018-08-05,0,0,19,6,0,False
2018-08-12,0,0,32,6,0,False
2018-08-19,0,0,13,13,0,False
2018-08-26,0,0,12,16,0,False
2018-09-02,0,0,19,6,0,False
2018-09-09,0,0,22,13,0,False
2018-09-16,0,0,25,6,0,False
2018-09-23,0,0,15,6,0,False
2018-09-30,0,0,19,6,0,False
2018-10-07,0,0,19,6,0,False
2018-10-14,0,0,21,6,0,False
2018-10-21,0,0,12,6,0,False
2018-10-28,0,0,15,0,0,False
2018-11-04,0,0,18,6,0,False
2018-11-11,0,0,24,0,0,False
2018-11-18,0,0,17,6,0,False
2018-11-25,0,0,6,0,0,False
2018-12-02,0,0,13,0,0,False
2018-12-09,0,0,13,6,0,False
2018-12-16,0,0,6,0,0,False
2018-12-23,0,0,7,7,0,False
2018-12-30,0,0,13,0,0,False
2019-01-06,0,0,12,18,0,False
2019-01-13,0,0,26,0,0,False
2019-01-20,0,0,11,6,0,False
2019-01-27,0,0,17,12,0,False
2019-02-03,0,0,15,6,0,False
2019-02-10,0,0,21,9,0,False
2019-02-17,0,0,9,6,0,False
2019-02-24,0,0,21,6,0,False
2019-03-03,0,0,25,19,0,False
2019-03-10,0,0,15,0,0,False
2019-03-17,0,0,15,0,0,False
2019-03-24,0,0,25,0,0,False
2019-03-31,0,0,26,6,0,False
2019-04-07,0,0,18,0,0,False
2019-04-14,0,0,17,17,0,False
2019-04-21,0,0,20,6,0,False
2019-04-28,0,0,15,0,0,False
2019-05-05,0,0,24,9,0,False
2019-05-12,0,0,21,6,0,False
2019-05-19,0,0,24,6,0,False
2019-05-26,0,0,30,12,0,False
2019-06-02,0,0,18,6,0,False
2019-06-09,0,0,36,6,0,False
2019-06-16,0,0,79,13,0,False
2019-06-23,0,0,100,6,0,False
2019-06-30,0,0,25,6,0,False
2019-07-07,0,0,19,6,0,False
2019-07-14,0,0,16,6,0,False
2019-07-21,0,0,36,13,0,False
2019-07-28,0,0,26,13,0,False
2019-08-04,0,0,22,6,0,False
2019-08-11,0,0,22,6,0,False
2019-08-18,0,0,39,6,0,False
2019-08-25,0,0,20,0,0,False
2019-09-01,0,0,18,12,0,False
2019-09-08,0,0,23,6,0,False
2019-09-15,0,0,14,0,0,False
2019-09-22,0,0,20,23,0,False
2019-09-29,0,0,14,6,0,False
2019-10-06,0,0,20,0,0,False
2019-10-13,0,0,22,8,0,False
2019-10-20,0,0,16,5,0,False
2019-10-27,0,0,13,5,0,False
2019-11-03,0,0,13,0,0,False
2019-11-10,0,0,11,5,0,False
2019-11-17,0,0,8,5,0,False
2019-11-24,0,0,13,0,0,False
2019-12-01,0,0,5,0,0,False
2019-12-08,0,0,11,5,0,False
2019-12-15,0,0,5,0,0,False
2019-12-22,0,0,11,0,0,False
2019-12-29,0,0,14,6,0,False
2020-01-05,0,0,5,0,0,False
2020-01-12,0,0,7,5,0,False
2020-01-19,0,0,10,5,0,False
2020-01-26,0,0,12,10,0,False
2020-02-02,0,0,13,5,0,False
2020-02-09,0,0,13,5,0,False
2020-02-16,0,0,23,5,0,False
2020-02-23,0,0,18,10,0,False
2020-03-01,0,0,21,14,0,False
2020-03-08,0,0,12,0,0,False
2020-03-15,0,0,6,0,0,False
2020-03-22,0,0,0,0,0,False
2020-03-29,0,0,8,0,0,False
2020-04-05,0,0,4,4,0,False
2020-04-12,0,0,6,4,0,False
2020-04-19,0,0,6,0,0,False
2020-04-26,0,0,6,4,0,False
2020-05-03,0,0,32,0,0,True
