date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,0,41,16,0,False
2018-01-14,0,74,0,0,False
2018-01-21,0,50,17,0,False
2018-01-28,33,50,33,0,False
2018-02-04,0,43,0,0,False
2018-02-11,0,83,25,49,False
2018-02-18,16,75,17,0,False
2018-02-25,16,57,33,0,False
2018-03-04,0,58,58,0,False
2018-03-11,16,25,33,16,False
2018-03-18,0,33,17,17,False
2018-03-25,0,27,35,18,False
2018-04-01,0,26,17,17,False
2018-04-08,0,35,0,17,False
2018-04-15,18,63,72,18,False
2018-04-22,0,34,17,17,False
2018-04-29,18,46,18,0,False
2018-05-06,0,46,36,0,False
2018-05-13,45,89,36,0,False
2018-05-20,36,100,0,0,False
2018-05-27,17,50,34,0,False
2018-06-03,18,18,18,0,False
2018-06-10,0,50,17,17,False
2018-06-17,17,42,0,0,False
2018-06-24,17,51,17,17,False
2018-07-01,18,53,44,0,False
2018-07-08,0,69,17,17,False
2018-07-15,0,45,18,0,False
2018-07-22,18,62,18,18,False
2018-07-29,17,34,17,17,False
2018-08-05,24,33,24,16,False
2018-08-12,0,57,49,0,False
2018-08-19,17,76,17,0,False
2018-08-26,17,34,17,0,False
2018-09-02,0,34,17,0,False
2018-09-09,17,52,17,0,False
2018-09-16,17,51,84,34,False
2018-09-23,0,42,34,17,False
2018-09-30,18,54,18,0,False
2018-10-07,35,18,0,0,False
2018-10-14,0,92,17,0,False
2018-10-21,0,65,0,0,False
2018-10-28,0,24,16,0,False
2018-11-04,16,64,0,0,False
2018-11-11,32,40,0,16,False
2018-11-18,0,46,0,0,False
2018-11-25,0,16,0,0,False
2018-12-02,0,32,0,0,False
2018-12-09,0,48,16,32,False
2018-12-16,0,16,16,16,False
2018-12-23,0,69,0,0,False
2018-12-30,0,57,16,0,False
2019-01-06,15,68,15,0,False
2019-01-13,15,53,23,15,False
2019-01-20,15,59,15,0,False
2019-01-27,0,52,30,0,False
2019-02-03,30,38,15,0,False
2019-02-10,0,24,16,0,False
2019-02-17,0,15,0,0,False
2019-02-24,0,77,23,15,False
2019-03-03,0,31,31,0,False
2019-03-10,15,60,0,0,False
2019-03-17,0,32,24,0,False
2019-03-24,0,24,24,31,False
2019-03-31,0,64,32,0,False
2019-04-07,16,16,24,0,False
2019-04-14,0,33,33,0,False
2019-04-21,0,67,17,0,False
2019-04-28,0,39,54,0,False
2019-05-05,0,53,0,0,False
2019-05-12,16,48,48,16,False
2019-05-19,15,31,31,15,False
2019-05-26,16,48,32,0,False
2019-06-02,15,31,0,16,False
2019-06-09,0,78,31,0,False
2019-06-16,23,55,47,16,False
2019-06-23,0,31,47,0,False
2019-06-30,0,47,62,0,False
2019-07-07,0,56,16,16,False
2019-07-14,0,25,50,17,False
2019-07-21,17,51,34,17,False
2019-07-28,16,65,48,0,False
2019-08-04,16,49,16,0,False
2019-08-11,15,62,31,0,False
2019-08-18,31,31,16,0,False
2019-08-25,0,61,0,15,False
2019-09-01,15,46,15,15,False
2019-09-08,0,62,16,0,False
2019-09-15,0,61,0,0,False
2019-09-22,0,52,22,30,False
2019-09-29,0,15,15,0,False
2019-10-06,15,53,15,0,False
2019-10-13,0,22,15,0,False
2019-10-20,0,36,0,0,False
2019-10-27,0,49,14,0,False
2019-11-03,0,69,42,0,False
2019-11-10,0,56,14,0,False
2019-11-17,0,55,0,0,False
2019-11-24,14,27,14,0,False
2019-12-01,14,64,14,0,False
2019-12-08,0,35,0,0,False
2019-12-15,0,21,14,0,False
2019-12-22,0,15,15,0,False
2019-12-29,14,29,14,0,False
2020-01-05,13,53,33,0,False
2020-01-12,0,39,26,0,False
2020-01-19,0,47,0,0,False
2020-01-26,13,46,13,0,False
2020-02-02,0,53,33,13,False
2020-02-09,0,34,27,0,False
2020-02-16,0,53,13,27,False
2020-02-23,0,39,45,0,False
2020-03-01,0,52,13,0,False
2020-03-08,0,12,25,12,False
2020-03-15,12,12,0,0,False
2020-03-22,0,12,0,0,False
2020-03-29,0,23,0,0,False
2020-04-05,0,13,13,0,False
2020-04-12,12,12,12,0,False
2020-04-19,0,24,18,12,False
2020-04-26,12,23,12,0,False
2020-05-03,0,83,0,0,True
