date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,8,52,8,8,False
2018-01-14,8,57,8,8,False
2018-01-21,8,87,12,8,False
2018-01-28,8,75,35,0,False
2018-02-04,8,72,21,8,False
2018-02-11,16,53,16,0,False
2018-02-18,8,68,36,8,False
2018-02-25,8,64,16,12,False
2018-03-04,8,66,39,16,False
2018-03-11,8,100,16,8,False
2018-03-18,0,51,8,0,False
2018-03-25,30,38,26,0,False
2018-04-01,0,36,27,23,False
2018-04-08,8,58,21,0,False
2018-04-15,8,46,50,8,False
2018-04-22,8,45,24,8,False
2018-04-29,13,80,30,13,False
2018-05-06,0,31,44,0,False
2018-05-13,21,75,29,8,False
2018-05-20,17,70,39,0,False
2018-05-27,0,57,24,16,False
2018-06-03,0,41,21,12,False
2018-06-10,8,54,8,8,False
2018-06-17,8,52,8,0,False
2018-06-24,8,75,17,17,False
2018-07-01,0,42,34,0,False
2018-07-08,0,56,17,26,False
2018-07-15,14,55,18,9,False
2018-07-22,0,43,14,10,False
2018-07-29,10,73,19,0,False
2018-08-05,14,74,9,9,False
2018-08-12,28,66,37,19,False
2018-08-19,26,79,9,9,False
2018-08-26,0,38,17,8,False
2018-09-02,17,66,29,8,False
2018-09-09,8,79,17,0,False
2018-09-16,17,50,8,0,False
2018-09-23,8,29,16,0,False
2018-09-30,0,70,38,13,False
2018-10-07,7,48,10,7,False
2018-10-14,0,42,13,0,False
2018-10-21,9,34,17,9,False
2018-10-28,0,21,21,0,False
2018-11-04,16,75,16,8,False
2018-11-11,8,41,0,24,False
2018-11-18,8,8,8,8,False
2018-11-25,0,48,16,0,False
2018-12-02,0,41,16,8,False
2018-12-09,8,29,17,0,False
2018-12-16,0,31,0,0,False
2018-12-23,0,11,22,0,False
2018-12-30,0,56,28,9,False
2019-01-06,8,46,27,0,False
2019-01-13,7,51,31,7,False
2019-01-20,0,54,14,14,False
2019-01-27,6,85,31,6,False
2019-02-03,8,37,16,8,False
2019-02-10,8,72,24,8,False
2019-02-17,0,71,16,8,False
2019-02-24,0,51,16,0,False
2019-03-03,7,72,13,0,False
2019-03-10,0,43,20,8,False
2019-03-17,8,40,28,8,False
2019-03-24,8,28,24,0,False
2019-03-31,8,41,16,0,False
2019-04-07,0,74,29,6,False
2019-04-14,9,45,9,0,False
2019-04-21,18,54,36,0,False
2019-04-28,6,71,26,19,False
2019-05-05,8,36,28,0,False
2019-05-12,16,56,32,8,False
2019-05-19,16,20,16,16,False
2019-05-26,0,37,21,0,False
2019-06-02,7,59,31,7,False
2019-06-09,0,37,8,0,False
2019-06-16,8,20,8,8,False
2019-06-23,0,38,17,17,False
2019-06-30,8,58,8,17,False
2019-07-07,8,41,24,8,False
2019-07-14,8,13,8,8,False
2019-07-21,0,65,13,9,False
2019-07-28,8,58,12,8,False
2019-08-04,12,61,12,16,False
2019-08-11,0,57,33,8,False
2019-08-18,16,48,16,8,False
2019-08-25,0,45,22,8,False
2019-09-01,7,56,11,7,False
2019-09-08,8,52,16,12,False
2019-09-15,0,43,12,0,False
2019-09-22,0,54,8,8,False
2019-09-29,0,53,25,0,False
2019-10-06,0,48,24,8,False
2019-10-13,0,51,16,0,False
2019-10-20,0,27,23,0,False
2019-10-27,8,53,15,8,False
2019-11-03,0,46,10,0,False
2019-11-10,0,30,8,8,False
2019-11-17,0,49,15,0,False
2019-11-24,0,26,15,0,False
2019-12-01,0,45,14,10,False
2019-12-08,0,19,7,0,False
2019-12-15,0,28,8,0,False
2019-12-22,0,60,10,10,False
2019-12-29,8,49,32,16,False
2020-01-05,7,59,38,7,False
2020-01-12,0,82,11,0,False
2020-01-19,0,41,7,7,False
2020-01-26,0,40,7,7,False
2020-02-02,0,19,15,8,False
2020-02-09,0,45,10,0,False
2020-02-16,7,55,7,0,False
2020-02-23,0,42,28,0,False
2020-03-01,7,64,20,7,False
2020-03-08,0,75,16,0,False
2020-03-15,0,21,7,7,False
2020-03-22,0,25,0,0,False
2020-03-29,0,10,7,0,False
2020-04-05,7,42,21,7,False
2020-04-12,0,30,8,0,False
2020-04-19,7,18,7,0,False
2020-04-26,0,34,7,0,False
2020-05-03,0,52,0,52,True
