geoName,geoCode,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit
Baden-Württemberg,DE-BW,4,77,14,5
Bavaria,DE-BY,3,72,20,5
Berlin,DE-BE,4,75,14,7
Brandenburg,DE-BB,3,77,18,2
Bremen,DE-HB,0,77,23,0
Hamburg,DE-HH,0,76,20,4
Hesse,DE-HE,5,70,21,4
Lower Saxony,DE-NI,7,74,15,4
Mecklenburg-Vorpommern,DE-MV,7,73,20,0
North Rhine-Westphalia,DE-NW,3,73,20,4
Rhineland-Palatinate,DE-RP,6,72,19,3
Saarland,DE-SL,0,80,20,0
Saxony,DE-SN,7,66,22,5
Saxony-Anhalt,DE-ST,6,65,23,6
Schleswig-Holstein,DE-SH,8,67,17,8
Thuringia,DE-TH,9,71,17,3
