date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,3,42,10,2,False
2018-01-14,2,36,13,2,False
2018-01-21,2,25,7,3,False
2018-01-28,2,33,11,5,False
2018-02-04,1,33,10,3,False
2018-02-11,3,30,6,1,False
2018-02-18,3,36,10,3,False
2018-02-25,1,31,6,4,False
2018-03-04,5,32,10,3,False
2018-03-11,2,34,10,2,False
2018-03-18,1,21,8,2,False
2018-03-25,1,27,8,3,False
2018-04-01,2,32,9,5,False
2018-04-08,5,25,8,1,False
2018-04-15,5,19,7,2,False
2018-04-22,2,32,11,1,False
2018-04-29,2,28,8,2,False
2018-05-06,4,29,11,4,False
2018-05-13,18,100,9,7,False
2018-05-20,18,64,16,6,False
2018-05-27,3,37,10,2,False
2018-06-03,3,22,8,5,False
2018-06-10,3,27,8,2,False
2018-06-17,5,22,8,3,False
2018-06-24,3,34,8,4,False
2018-07-01,2,27,9,5,False
2018-07-08,4,23,8,2,False
2018-07-15,5,27,5,4,False
2018-07-22,2,30,9,2,False
2018-07-29,4,37,7,2,False
2018-08-05,1,28,6,2,False
2018-08-12,7,41,12,4,False
2018-08-19,5,28,9,2,False
2018-08-26,4,31,10,1,False
2018-09-02,2,35,9,2,False
2018-09-09,4,35,6,2,False
2018-09-16,3,31,6,2,False
2018-09-23,3,30,10,1,False
2018-09-30,1,27,6,3,False
2018-10-07,5,29,10,3,False
2018-10-14,4,29,5,2,False
2018-10-21,1,32,5,1,False
2018-10-28,1,32,6,1,False
2018-11-04,3,31,7,2,False
2018-11-11,1,24,3,2,False
2018-11-18,0,28,4,1,False
2018-11-25,1,25,3,2,False
2018-12-02,2,25,5,1,False
2018-12-09,3,24,3,1,False
2018-12-16,2,20,3,1,False
2018-12-23,0,25,5,0,False
2018-12-30,3,33,6,2,False
2019-01-06,3,29,7,2,False
2019-01-13,1,28,9,2,False
2019-01-20,2,27,11,3,False
2019-01-27,2,30,9,3,False
2019-02-03,1,27,11,1,False
2019-02-10,2,30,11,1,False
2019-02-17,1,38,8,3,False
2019-02-24,2,25,10,1,False
2019-03-03,1,26,11,2,False
2019-03-10,1,30,12,5,False
2019-03-17,1,27,7,3,False
2019-03-24,2,25,11,2,False
2019-03-31,1,25,6,2,False
2019-04-07,1,25,9,5,False
2019-04-14,1,20,6,0,False
2019-04-21,2,21,10,3,False
2019-04-28,3,28,10,4,False
2019-05-05,2,26,7,3,False
2019-05-12,1,26,13,3,False
2019-05-19,2,23,5,4,False
2019-05-26,2,25,7,3,False
2019-06-02,3,31,4,2,False
2019-06-09,3,29,8,2,False
2019-06-16,3,20,10,1,False
2019-06-23,2,23,4,2,False
2019-06-30,5,24,8,3,False
2019-07-07,3,24,7,3,False
2019-07-14,2,26,8,3,False
2019-07-21,5,18,8,1,False
2019-07-28,3,20,7,3,False
2019-08-04,5,35,5,2,False
2019-08-11,3,31,7,1,False
2019-08-18,2,32,6,3,False
2019-08-25,2,29,8,2,False
2019-09-01,2,32,8,2,False
2019-09-08,3,31,6,3,False
2019-09-15,3,27,9,1,False
2019-09-22,3,29,6,4,False
2019-09-29,2,29,4,2,False
2019-10-06,1,25,5,3,False
2019-10-13,3,24,5,1,False
2019-10-20,5,31,7,1,False
2019-10-27,3,37,4,0,False
2019-11-03,1,23,3,1,False
2019-11-10,3,19,3,1,False
2019-11-17,1,24,3,1,False
2019-11-24,2,21,3,1,False
2019-12-01,1,16,2,1,False
2019-12-08,1,24,3,0,False
2019-12-15,0,14,4,1,False
2019-12-22,2,20,2,1,False
2019-12-29,1,28,5,1,False
2020-01-05,0,29,10,2,False
2020-01-12,2,32,8,3,False
2020-01-19,2,32,10,3,False
2020-01-26,3,29,6,2,False
2020-02-02,2,36,6,1,False
2020-02-09,2,24,7,2,False
2020-02-16,2,19,7,3,False
2020-02-23,2,19,6,3,False
2020-03-01,2,20,4,1,False
2020-03-08,1,20,6,2,False
2020-03-15,2,11,3,1,False
2020-03-22,1,11,2,3,False
2020-03-29,1,13,2,3,False
2020-04-05,1,13,3,1,False
2020-04-12,1,17,3,2,False
2020-04-19,1,16,3,0,False
2020-04-26,2,19,2,2,False
2020-05-03,7,24,7,0,True
