date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,2,49,14,4,False
2018-01-14,2,50,15,2,False
2018-01-21,3,49,14,2,False
2018-01-28,2,45,14,3,False
2018-02-04,2,42,12,4,False
2018-02-11,2,40,11,2,False
2018-02-18,3,44,14,3,False
2018-02-25,2,44,12,3,False
2018-03-04,2,46,13,3,False
2018-03-11,3,41,14,3,False
2018-03-18,4,40,13,3,False
2018-03-25,3,41,12,2,False
2018-04-01,3,39,12,5,False
2018-04-08,3,36,14,3,False
2018-04-15,4,29,11,3,False
2018-04-22,3,32,11,4,False
2018-04-29,4,35,14,5,False
2018-05-06,5,34,15,2,False
2018-05-13,18,100,22,4,False
2018-05-20,22,74,22,5,False
2018-05-27,6,38,13,5,False
2018-06-03,4,35,15,3,False
2018-06-10,4,37,14,3,False
2018-06-17,2,34,12,2,False
2018-06-24,3,34,13,3,False
2018-07-01,3,34,13,4,False
2018-07-08,4,37,12,3,False
2018-07-15,5,34,12,3,False
2018-07-22,3,34,13,5,False
2018-07-29,5,36,11,4,False
2018-08-05,5,36,11,4,False
2018-08-12,6,39,16,5,False
2018-08-19,4,43,11,4,False
2018-08-26,5,38,10,3,False
2018-09-02,3,43,11,3,False
2018-09-09,4,42,8,2,False
2018-09-16,3,36,11,4,False
2018-09-23,3,33,10,2,False
2018-09-30,3,42,9,2,False
2018-10-07,5,37,11,3,False
2018-10-14,4,39,8,2,False
2018-10-21,3,36,10,2,False
2018-10-28,2,36,9,1,False
2018-11-04,3,37,7,2,False
2018-11-11,2,39,5,1,False
2018-11-18,2,30,7,1,False
2018-11-25,2,28,6,1,False
2018-12-02,2,33,4,2,False
2018-12-09,2,26,6,1,False
2018-12-16,2,27,5,1,False
2018-12-23,3,36,6,1,False
2018-12-30,2,36,9,3,False
2019-01-06,2,43,11,2,False
2019-01-13,2,41,12,3,False
2019-01-20,2,44,13,3,False
2019-01-27,1,45,13,2,False
2019-02-03,1,39,11,2,False
2019-02-10,2,34,11,1,False
2019-02-17,1,39,10,3,False
2019-02-24,2,37,9,3,False
2019-03-03,1,36,11,3,False
2019-03-10,2,38,13,3,False
2019-03-17,3,31,10,3,False
2019-03-24,3,36,10,3,False
2019-03-31,3,31,9,2,False
2019-04-07,3,33,12,3,False
2019-04-14,2,30,10,2,False
2019-04-21,2,30,12,4,False
2019-04-28,4,32,15,3,False
2019-05-05,4,31,14,4,False
2019-05-12,3,36,14,4,False
2019-05-19,3,36,14,4,False
2019-05-26,3,35,11,4,False
2019-06-02,6,29,10,2,False
2019-06-09,3,31,11,4,False
2019-06-16,3,31,11,3,False
2019-06-23,2,27,10,3,False
2019-06-30,4,28,14,4,False
2019-07-07,4,30,13,4,False
2019-07-14,3,35,12,3,False
2019-07-21,3,31,10,3,False
2019-07-28,5,34,11,4,False
2019-08-04,9,49,12,5,False
2019-08-11,4,35,13,3,False
2019-08-18,3,37,12,4,False
2019-08-25,2,34,9,2,False
2019-09-01,2,30,8,3,False
2019-09-08,3,37,11,3,False
2019-09-15,3,32,11,3,False
2019-09-22,2,37,10,3,False
2019-09-29,4,36,8,3,False
2019-10-06,3,38,8,2,False
2019-10-13,2,36,10,2,False
2019-10-20,2,36,13,1,False
2019-10-27,2,31,8,2,False
2019-11-03,2,36,7,1,False
2019-11-10,3,34,5,2,False
2019-11-17,2,33,6,1,False
2019-11-24,2,24,5,1,False
2019-12-01,1,24,4,2,False
2019-12-08,2,23,6,2,False
2019-12-15,2,22,4,2,False
2019-12-22,1,30,4,1,False
2019-12-29,2,36,8,2,False
2020-01-05,2,41,10,3,False
2020-01-12,2,41,12,3,False
2020-01-19,2,36,11,3,False
2020-01-26,2,39,11,2,False
2020-02-02,3,37,12,3,False
2020-02-09,3,30,8,3,False
2020-02-16,2,32,9,3,False
2020-02-23,2,29,11,3,False
2020-03-01,2,32,10,3,False
2020-03-08,1,26,8,2,False
2020-03-15,2,17,4,1,False
2020-03-22,1,21,4,1,False
2020-03-29,1,16,3,2,False
2020-04-05,1,17,4,1,False
2020-04-12,2,23,3,1,False
2020-04-19,1,22,4,2,False
2020-04-26,2,24,5,1,False
2020-05-03,2,29,9,3,True
