date,pastel boda,boda fotografo,boda vestido,flores boda,lugares para bodas,isPartial
2018-01-07,0,0,8,0,0,False
2018-01-14,0,0,11,0,0,False
2018-01-21,0,0,21,0,0,False
2018-01-28,0,0,25,6,0,False
2018-02-04,0,0,6,4,0,False
2018-02-11,0,0,13,4,0,False
2018-02-18,0,0,30,4,0,False
2018-02-25,0,0,17,0,0,False
2018-03-04,0,0,12,8,0,False
2018-03-11,0,0,8,4,0,False
2018-03-18,0,0,18,4,0,False
2018-03-25,0,0,11,4,0,False
2018-04-01,0,0,15,0,0,False
2018-04-08,0,0,10,10,0,False
2018-04-15,0,0,19,4,0,False
2018-04-22,0,0,4,0,0,False
2018-04-29,0,0,18,4,0,False
2018-05-06,0,0,29,0,0,False
2018-05-13,0,0,42,8,0,False
2018-05-20,0,0,29,0,0,False
2018-05-27,0,0,23,0,0,False
2018-06-03,0,0,6,0,0,False
2018-06-10,0,0,14,4,0,False
2018-06-17,0,0,7,0,0,False
2018-06-24,0,0,13,9,0,False
2018-07-01,0,0,7,4,0,False
2018-07-08,0,0,24,0,0,False
2018-07-15,0,0,24,11,0,False
2018-07-22,0,0,18,5,0,False
2018-07-29,0,0,4,4,0,False
2018-08-05,0,0,20,0,0,False
2018-08-12,0,0,20,4,0,False
2018-08-19,0,0,14,4,0,False
2018-08-26,0,0,20,6,0,False
2018-09-02,0,0,25,6,0,False
2018-09-09,0,0,11,0,0,False
2018-09-16,0,0,9,5,0,False
2018-09-23,0,0,13,4,0,False
2018-09-30,0,0,9,4,0,False
2018-10-07,0,0,24,4,0,False
2018-10-14,0,0,11,0,0,False
2018-10-21,0,0,6,0,0,False
2018-10-28,0,0,4,4,0,False
2018-11-04,0,0,16,8,0,False
2018-11-11,0,0,13,4,0,False
2018-11-18,0,0,10,4,0,False
2018-11-25,0,0,8,0,0,False
2018-12-02,0,0,8,0,0,False
2018-12-09,0,0,4,4,0,False
2018-12-16,0,0,4,0,0,False
2018-12-23,0,0,9,0,0,False
2018-12-30,0,0,4,6,0,False
2019-01-06,0,0,14,16,0,False
2019-01-13,0,0,14,4,0,False
2019-01-20,0,0,8,4,0,False
2019-01-27,0,0,8,8,0,False
2019-02-03,0,0,12,4,0,False
2019-02-10,0,0,10,6,0,False
2019-02-17,0,0,4,0,0,False
2019-02-24,0,0,14,0,0,False
2019-03-03,0,0,10,12,0,False
2019-03-10,0,0,16,8,0,False
2019-03-17,0,0,16,0,0,False
2019-03-24,0,0,14,0,0,False
2019-03-31,0,0,12,6,0,False
2019-04-07,0,0,10,0,0,False
2019-04-14,0,0,10,0,0,False
2019-04-21,0,0,15,4,0,False
2019-04-28,0,0,17,6,0,False
2019-05-05,0,0,16,8,0,False
2019-05-12,0,0,14,6,0,False
2019-05-19,0,0,16,4,0,False
2019-05-26,0,0,13,4,0,False
2019-06-02,0,0,11,0,0,False
2019-06-09,0,0,36,4,0,False
2019-06-16,0,0,70,6,0,False
2019-06-23,0,0,100,4,0,False
2019-06-30,0,0,35,4,0,False
2019-07-07,0,0,14,4,0,False
2019-07-14,0,0,4,8,0,False
2019-07-21,0,0,20,8,0,False
2019-07-28,0,0,8,0,0,False
2019-08-04,0,0,9,0,0,False
2019-08-11,0,0,15,4,0,False
2019-08-18,0,0,21,4,0,False
2019-08-25,0,0,16,4,0,False
2019-09-01,0,0,19,0,0,False
2019-09-08,0,0,11,6,0,False
2019-09-15,0,0,16,4,0,False
2019-09-22,0,0,19,4,0,False
2019-09-29,0,0,13,6,0,False
2019-10-06,0,0,9,4,0,False
2019-10-13,0,0,13,7,0,False
2019-10-20,0,0,7,4,0,False
2019-10-27,0,0,3,0,0,False
2019-11-03,0,0,3,7,0,False
2019-11-10,0,0,14,0,0,False
2019-11-17,0,0,5,3,0,False
2019-11-24,0,0,7,3,0,False
2019-12-01,0,0,4,4,0,False
2019-12-08,0,0,9,4,0,False
2019-12-15,0,0,7,4,0,False
2019-12-22,0,0,9,4,0,False
2019-12-29,0,0,9,4,0,False
2020-01-05,0,0,7,0,0,False
2020-01-12,0,0,18,7,0,False
2020-01-19,0,0,5,3,0,False
2020-01-26,0,0,13,3,0,False
2020-02-02,0,0,26,0,0,False
2020-02-09,0,0,14,3,0,False
2020-02-16,0,0,12,3,0,False
2020-02-23,0,0,19,5,0,False
2020-03-01,0,0,21,5,0,False
2020-03-08,0,0,11,0,0,False
2020-03-15,0,0,3,0,0,False
2020-03-22,0,0,3,3,0,False
2020-03-29,0,0,6,0,0,False
2020-04-05,0,0,3,3,0,False
2020-04-12,0,0,3,0,0,False
2020-04-19,0,0,3,3,0,False
2020-04-26,0,0,3,3,0,False
2020-05-03,0,0,0,0,0,True
