date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,0,45,8,17,False
2018-01-14,0,36,16,0,False
2018-01-21,0,37,16,8,False
2018-01-28,8,41,12,8,False
2018-02-04,0,54,25,8,False
2018-02-11,0,33,8,0,False
2018-02-18,8,46,17,0,False
2018-02-25,0,40,8,8,False
2018-03-04,0,61,12,0,False
2018-03-11,8,33,33,8,False
2018-03-18,0,33,12,0,False
2018-03-25,8,41,16,0,False
2018-04-01,9,39,26,9,False
2018-04-08,0,30,13,9,False
2018-04-15,0,13,26,9,False
2018-04-22,8,41,29,8,False
2018-04-29,0,21,8,8,False
2018-05-06,0,39,17,0,False
2018-05-13,12,100,21,0,False
2018-05-20,42,55,13,0,False
2018-05-27,8,24,28,0,False
2018-06-03,8,8,21,8,False
2018-06-10,8,15,19,15,False
2018-06-17,0,27,16,8,False
2018-06-24,0,24,24,8,False
2018-07-01,0,8,8,8,False
2018-07-08,0,12,24,8,False
2018-07-15,0,34,0,8,False
2018-07-22,8,24,16,0,False
2018-07-29,8,28,12,24,False
2018-08-05,8,19,12,0,False
2018-08-12,0,27,15,8,False
2018-08-19,8,16,0,8,False
2018-08-26,0,28,28,0,False
2018-09-02,16,8,8,8,False
2018-09-09,16,35,16,0,False
2018-09-16,16,32,8,0,False
2018-09-23,8,20,24,8,False
2018-09-30,8,25,8,0,False
2018-10-07,9,31,13,9,False
2018-10-14,17,38,8,0,False
2018-10-21,8,27,8,0,False
2018-10-28,8,40,8,0,False
2018-11-04,0,35,8,0,False
2018-11-11,0,20,0,0,False
2018-11-18,0,15,8,0,False
2018-11-25,0,28,0,0,False
2018-12-02,8,24,8,0,False
2018-12-09,8,20,8,0,False
2018-12-16,8,49,0,16,False
2018-12-23,9,30,13,0,False
2018-12-30,0,16,0,0,False
2019-01-06,0,23,19,0,False
2019-01-13,0,38,11,8,False
2019-01-20,7,26,22,0,False
2019-01-27,0,38,23,8,False
2019-02-03,8,42,15,0,False
2019-02-10,0,35,15,8,False
2019-02-17,0,35,8,0,False
2019-02-24,0,31,12,8,False
2019-03-03,8,41,15,0,False
2019-03-10,0,41,15,8,False
2019-03-17,0,39,8,0,False
2019-03-24,0,16,16,8,False
2019-03-31,8,37,16,8,False
2019-04-07,0,33,16,0,False
2019-04-14,25,25,17,0,False
2019-04-21,0,28,24,0,False
2019-04-28,0,26,15,7,False
2019-05-05,8,27,27,8,False
2019-05-12,8,23,23,0,False
2019-05-19,8,23,19,0,False
2019-05-26,7,37,15,0,False
2019-06-02,7,33,7,7,False
2019-06-09,7,18,11,7,False
2019-06-16,0,37,0,7,False
2019-06-23,0,30,8,0,False
2019-06-30,0,18,15,7,False
2019-07-07,7,48,15,7,False
2019-07-14,0,22,19,0,False
2019-07-21,0,19,8,0,False
2019-07-28,7,43,11,7,False
2019-08-04,14,75,7,14,False
2019-08-11,7,24,10,0,False
2019-08-18,7,32,18,21,False
2019-08-25,7,22,14,0,False
2019-09-01,0,27,17,0,False
2019-09-08,7,32,11,7,False
2019-09-15,0,21,21,0,False
2019-09-22,0,21,7,0,False
2019-09-29,7,21,7,0,False
2019-10-06,7,22,7,7,False
2019-10-13,0,28,14,0,False
2019-10-20,0,21,7,7,False
2019-10-27,0,27,0,7,False
2019-11-03,0,27,14,0,False
2019-11-10,0,21,21,0,False
2019-11-17,0,24,0,7,False
2019-11-24,0,14,7,0,False
2019-12-01,0,14,7,7,False
2019-12-08,0,24,7,0,False
2019-12-15,7,18,7,7,False
2019-12-22,0,19,0,0,False
2019-12-29,0,38,0,0,False
2020-01-05,0,33,7,0,False
2020-01-12,6,49,13,0,False
2020-01-19,0,24,13,0,False
2020-01-26,0,30,7,0,False
2020-02-02,0,33,10,13,False
2020-02-09,6,26,23,7,False
2020-02-16,7,50,26,0,False
2020-02-23,0,32,13,0,False
2020-03-01,0,36,13,7,False
2020-03-08,0,30,6,0,False
2020-03-15,6,12,18,6,False
2020-03-22,6,12,0,0,False
2020-03-29,0,9,0,0,False
2020-04-05,0,13,6,0,False
2020-04-12,6,12,0,0,False
2020-04-19,0,18,0,0,False
2020-04-26,0,11,6,0,False
2020-05-03,0,0,0,0,True
