date,pastel boda,boda fotografo,boda vestido,flores boda,lugares para bodas,isPartial
2018-01-07,5,0,9,2,2,False
2018-01-14,2,0,16,2,0,False
2018-01-21,2,2,16,5,0,False
2018-01-28,5,0,17,2,2,False
2018-02-04,0,2,19,6,2,False
2018-02-11,4,2,17,2,0,False
2018-02-18,2,5,28,10,2,False
2018-02-25,2,0,21,5,0,False
2018-03-04,5,0,26,5,0,False
2018-03-11,4,0,12,4,0,False
2018-03-18,2,5,28,4,0,False
2018-03-25,3,3,24,5,0,False
2018-04-01,6,0,29,6,2,False
2018-04-08,3,2,30,8,0,False
2018-04-15,2,0,15,2,0,False
2018-04-22,2,0,19,5,2,False
2018-04-29,2,0,28,7,0,False
2018-05-06,2,0,24,10,2,False
2018-05-13,5,0,72,8,0,False
2018-05-20,2,0,35,6,2,False
2018-05-27,2,0,31,4,2,False
2018-06-03,0,0,20,2,0,False
2018-06-10,0,0,25,2,0,False
2018-06-17,5,0,16,5,0,False
2018-06-24,2,0,18,6,2,False
2018-07-01,2,0,29,6,0,False
2018-07-08,0,0,17,4,0,False
2018-07-15,0,2,26,2,0,False
2018-07-22,2,0,17,5,0,False
2018-07-29,0,3,17,3,0,False
2018-08-05,3,3,19,6,0,False
2018-08-12,3,0,26,3,0,False
2018-08-19,0,0,31,3,3,False
2018-08-26,4,0,26,14,0,False
2018-09-02,2,0,24,5,0,False
2018-09-09,5,2,32,5,2,False
2018-09-16,0,2,20,6,2,False
2018-09-23,5,2,31,2,4,False
2018-09-30,2,2,13,5,0,False
2018-10-07,0,2,11,2,0,False
2018-10-14,2,7,12,4,0,False
2018-10-21,4,0,10,2,0,False
2018-10-28,0,2,5,0,2,False
2018-11-04,2,2,7,5,2,False
2018-11-11,2,0,11,2,0,False
2018-11-18,2,0,8,2,0,False
2018-11-25,0,0,12,12,2,False
2018-12-02,0,3,11,4,0,False
2018-12-09,0,2,7,2,0,False
2018-12-16,2,2,12,0,0,False
2018-12-23,6,0,18,0,0,False
2018-12-30,3,0,14,3,0,False
2019-01-06,2,2,13,29,0,False
2019-01-13,0,0,20,0,0,False
2019-01-20,2,0,22,2,5,False
2019-01-27,2,0,22,5,0,False
2019-02-03,2,2,22,0,0,False
2019-02-10,0,2,15,5,0,False
2019-02-17,2,2,10,2,2,False
2019-02-24,2,0,16,7,0,False
2019-03-03,2,5,21,12,0,False
2019-03-10,0,0,11,2,0,False
2019-03-17,0,2,14,5,0,False
2019-03-24,2,0,19,4,0,False
2019-03-31,2,0,28,0,0,False
2019-04-07,5,0,18,0,0,False
2019-04-14,0,0,25,9,0,False
2019-04-21,3,0,21,6,0,False
2019-04-28,5,2,21,2,0,False
2019-05-05,0,2,31,3,0,False
2019-05-12,3,0,24,0,0,False
2019-05-19,2,2,32,7,2,False
2019-05-26,2,0,23,8,2,False
2019-06-02,2,4,11,7,0,False
2019-06-09,2,2,33,5,2,False
2019-06-16,2,0,79,6,2,False
2019-06-23,2,0,100,5,0,False
2019-06-30,2,0,37,5,0,False
2019-07-07,7,2,26,6,2,False
2019-07-14,2,0,22,9,2,False
2019-07-21,2,0,29,12,0,False
2019-07-28,2,0,22,2,0,False
2019-08-04,5,3,23,4,0,False
2019-08-11,0,0,10,3,0,False
2019-08-18,3,3,21,3,3,False
2019-08-25,0,0,22,4,0,False
2019-09-01,0,2,25,2,0,False
2019-09-08,4,0,16,7,2,False
2019-09-15,0,2,28,7,2,False
2019-09-22,2,0,21,5,2,False
2019-09-29,0,0,10,5,2,False
2019-10-06,2,2,15,4,0,False
2019-10-13,2,0,12,5,0,False
2019-10-20,2,0,18,6,2,False
2019-10-27,2,2,7,0,0,False
2019-11-03,0,4,10,2,0,False
2019-11-10,2,0,4,4,0,False
2019-11-17,2,0,10,2,0,False
2019-11-24,2,0,6,0,0,False
2019-12-01,0,2,9,2,0,False
2019-12-08,2,0,7,2,0,False
2019-12-15,0,0,7,2,0,False
2019-12-22,0,3,6,3,0,False
2019-12-29,0,2,17,5,0,False
2020-01-05,0,2,18,2,0,False
2020-01-12,2,2,18,3,0,False
2020-01-19,3,2,17,4,0,False
2020-01-26,3,0,11,6,2,False
2020-02-02,0,0,19,8,2,False
2020-02-09,4,0,17,5,0,False
2020-02-16,0,0,28,6,2,False
2020-02-23,2,0,26,6,2,False
2020-03-01,0,0,26,6,0,False
2020-03-08,4,0,20,4,0,False
2020-03-15,0,0,8,4,0,False
2020-03-22,0,0,6,4,0,False
2020-03-29,2,0,7,2,0,False
2020-04-05,0,2,9,0,0,False
2020-04-12,4,0,7,0,0,False
2020-04-19,2,2,3,2,0,False
2020-04-26,0,0,7,4,0,False
2020-05-03,0,0,0,0,0,True
