geoName,geoCode,pastel boda,boda fotografo,boda vestido,flores boda,lugares para bodas
Andalusia,ES-AN,0,3,83,14,0
Aragon,ES-AR,0,0,78,22,0
Asturias,ES-AS,0,0,70,30,0
Balearic Islands,ES-IB,0,0,78,22,0
Basque Country,ES-PV,0,0,86,14,0
Canary Islands,ES-CN,0,0,75,25,0
Cantabria,ES-CB,0,0,75,25,0
Castile and León,ES-CL,0,0,80,20,0
Castile-La Mancha,ES-CM,0,0,88,12,0
Catalonia,ES-CT,5,3,74,17,1
Ceuta,ES-CE,0,0,0,0,0
Community of Madrid,ES-MD,0,5,79,15,1
Extremadura,ES-EX,0,0,90,10,0
Galicia,ES-GA,0,0,89,11,0
La Rioja,ES-RI,0,0,100,0,0
Melilla,ES-ML,0,0,0,0,0
Navarre,ES-NC,0,0,72,28,0
Region of Murcia,ES-MC,0,0,79,21,0
Valencian Community,ES-VC,0,1,81,18,0
