date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,0,54,12,6,False
2018-01-14,0,59,16,6,False
2018-01-21,0,70,21,6,False
2018-01-28,6,33,18,6,False
2018-02-04,6,24,21,0,False
2018-02-11,0,47,13,19,False
2018-02-18,0,35,13,9,False
2018-02-25,6,55,18,0,False
2018-03-04,6,61,21,9,False
2018-03-11,6,51,9,6,False
2018-03-18,6,46,15,6,False
2018-03-25,13,32,6,6,False
2018-04-01,7,36,16,0,False
2018-04-08,16,44,13,6,False
2018-04-15,6,44,16,0,False
2018-04-22,15,33,18,0,False
2018-04-29,6,51,0,13,False
2018-05-06,6,32,19,0,False
2018-05-13,12,100,32,0,False
2018-05-20,15,89,18,6,False
2018-05-27,0,51,6,6,False
2018-06-03,15,47,12,0,False
2018-06-10,6,36,15,0,False
2018-06-17,6,39,15,12,False
2018-06-24,0,46,18,6,False
2018-07-01,0,16,6,6,False
2018-07-08,0,53,6,0,False
2018-07-15,13,26,10,7,False
2018-07-22,13,36,16,6,False
2018-07-29,6,22,6,0,False
2018-08-05,0,27,12,6,False
2018-08-12,0,47,20,6,False
2018-08-19,6,41,18,6,False
2018-08-26,0,51,12,6,False
2018-09-02,6,33,6,0,False
2018-09-09,6,54,18,0,False
2018-09-16,12,25,15,12,False
2018-09-23,0,34,12,0,False
2018-09-30,0,31,9,6,False
2018-10-07,13,38,19,0,False
2018-10-14,6,37,12,0,False
2018-10-21,6,40,6,23,False
2018-10-28,0,29,9,6,False
2018-11-04,6,34,17,0,False
2018-11-11,12,50,6,0,False
2018-11-18,6,48,6,0,False
2018-11-25,12,23,6,0,False
2018-12-02,6,50,6,0,False
2018-12-09,6,23,0,0,False
2018-12-16,9,15,0,12,False
2018-12-23,7,37,7,0,False
2018-12-30,6,45,9,0,False
2019-01-06,6,42,11,0,False
2019-01-13,6,19,11,11,False
2019-01-20,0,36,11,6,False
2019-01-27,5,38,17,8,False
2019-02-03,0,39,14,0,False
2019-02-10,11,31,22,6,False
2019-02-17,12,24,6,0,False
2019-02-24,0,36,21,0,False
2019-03-03,6,36,11,6,False
2019-03-10,17,39,8,0,False
2019-03-17,6,24,9,6,False
2019-03-24,6,40,6,6,False
2019-03-31,6,27,12,0,False
2019-04-07,0,17,17,0,False
2019-04-14,0,40,12,6,False
2019-04-21,0,25,25,6,False
2019-04-28,6,25,17,6,False
2019-05-05,0,39,14,6,False
2019-05-12,6,34,9,6,False
2019-05-19,11,39,14,6,False
2019-05-26,18,32,9,0,False
2019-06-02,12,23,9,6,False
2019-06-09,6,20,6,6,False
2019-06-16,6,17,11,6,False
2019-06-23,6,29,20,6,False
2019-06-30,0,28,23,0,False
2019-07-07,12,26,12,6,False
2019-07-14,12,31,25,6,False
2019-07-21,6,26,6,6,False
2019-07-28,6,27,6,0,False
2019-08-04,6,24,15,6,False
2019-08-11,12,41,21,6,False
2019-08-18,17,29,12,0,False
2019-08-25,6,20,20,11,False
2019-09-01,8,33,8,5,False
2019-09-08,6,29,12,6,False
2019-09-15,0,35,12,6,False
2019-09-22,6,37,14,6,False
2019-09-29,8,36,6,0,False
2019-10-06,0,42,6,6,False
2019-10-13,9,57,17,6,False
2019-10-20,6,32,11,6,False
2019-10-27,5,37,5,0,False
2019-11-03,0,31,5,0,False
2019-11-10,5,27,5,5,False
2019-11-17,0,21,5,5,False
2019-11-24,0,16,5,0,False
2019-12-01,0,22,0,5,False
2019-12-08,0,27,5,5,False
2019-12-15,5,35,11,0,False
2019-12-22,6,33,12,0,False
2019-12-29,0,28,11,0,False
2020-01-05,5,38,10,8,False
2020-01-12,0,30,20,0,False
2020-01-19,5,31,20,0,False
2020-01-26,8,43,18,0,False
2020-02-02,5,54,10,5,False
2020-02-09,0,34,13,5,False
2020-02-16,0,15,13,0,False
2020-02-23,5,27,10,5,False
2020-03-01,10,22,5,0,False
2020-03-08,5,19,9,0,False
2020-03-15,4,16,0,0,False
2020-03-22,9,16,9,0,False
2020-03-29,0,18,4,9,False
2020-04-05,0,17,0,5,False
2020-04-12,0,26,5,0,False
2020-04-19,9,23,9,5,False
2020-04-26,0,16,4,0,False
2020-05-03,0,0,0,0,True
