date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,15,30,15,7,False
2018-01-14,0,95,22,0,False
2018-01-21,0,73,44,0,False
2018-01-28,0,96,30,22,False
2018-02-04,0,76,0,0,False
2018-02-11,0,23,31,0,False
2018-02-18,0,53,53,8,False
2018-02-25,15,30,7,0,False
2018-03-04,8,53,23,8,False
2018-03-11,0,60,23,0,False
2018-03-18,0,30,46,0,False
2018-03-25,0,24,16,0,False
2018-04-01,0,49,16,0,False
2018-04-08,8,48,8,16,False
2018-04-15,0,49,24,8,False
2018-04-22,0,39,8,0,False
2018-04-29,0,40,32,0,False
2018-05-06,8,24,0,0,False
2018-05-13,23,100,15,0,False
2018-05-20,23,70,77,0,False
2018-05-27,0,47,0,0,False
2018-06-03,0,24,8,8,False
2018-06-10,8,23,15,8,False
2018-06-17,0,31,8,0,False
2018-06-24,8,32,24,0,False
2018-07-01,0,40,16,0,False
2018-07-08,8,55,8,0,False
2018-07-15,0,48,32,0,False
2018-07-22,8,24,16,16,False
2018-07-29,0,69,8,0,False
2018-08-05,15,45,15,0,False
2018-08-12,0,53,46,23,False
2018-08-19,8,69,31,0,False
2018-08-26,0,46,0,0,False
2018-09-02,8,98,23,0,False
2018-09-09,8,39,8,0,False
2018-09-16,15,46,8,0,False
2018-09-23,0,38,15,8,False
2018-09-30,8,40,16,0,False
2018-10-07,8,41,16,0,False
2018-10-14,8,8,8,0,False
2018-10-21,0,38,0,0,False
2018-10-28,0,60,7,0,False
2018-11-04,7,58,0,0,False
2018-11-11,7,15,7,0,False
2018-11-18,7,29,7,0,False
2018-11-25,0,30,15,0,False
2018-12-02,0,22,0,0,False
2018-12-09,7,52,7,0,False
2018-12-16,0,23,8,0,False
2018-12-23,0,57,16,0,False
2018-12-30,8,61,8,15,False
2019-01-06,7,49,7,7,False
2019-01-13,0,35,21,0,False
2019-01-20,14,49,28,7,False
2019-01-27,7,56,14,0,False
2019-02-03,0,49,14,0,False
2019-02-10,0,14,14,0,False
2019-02-17,0,80,7,7,False
2019-02-24,0,54,23,0,False
2019-03-03,0,58,22,0,False
2019-03-10,0,42,21,14,False
2019-03-17,15,30,37,0,False
2019-03-24,30,75,15,7,False
2019-03-31,7,30,15,0,False
2019-04-07,7,51,22,0,False
2019-04-14,8,46,15,8,False
2019-04-21,0,60,45,8,False
2019-04-28,0,51,22,0,False
2019-05-05,7,64,0,7,False
2019-05-12,7,44,0,0,False
2019-05-19,7,36,22,0,False
2019-05-26,0,22,36,0,False
2019-06-02,14,22,14,0,False
2019-06-09,0,51,22,7,False
2019-06-16,0,52,15,0,False
2019-06-23,0,30,22,0,False
2019-06-30,8,45,8,8,False
2019-07-07,0,59,37,0,False
2019-07-14,0,15,39,8,False
2019-07-21,0,32,8,0,False
2019-07-28,8,8,31,0,False
2019-08-04,0,52,15,0,False
2019-08-11,7,21,0,0,False
2019-08-18,0,36,29,0,False
2019-08-25,7,65,7,7,False
2019-09-01,7,21,14,7,False
2019-09-08,7,43,29,0,False
2019-09-15,0,15,7,0,False
2019-09-22,0,57,14,0,False
2019-09-29,0,36,14,0,False
2019-10-06,0,56,21,0,False
2019-10-13,0,27,0,0,False
2019-10-20,7,48,7,7,False
2019-10-27,0,67,7,0,False
2019-11-03,0,59,13,0,False
2019-11-10,0,13,0,0,False
2019-11-17,0,39,7,0,False
2019-11-24,0,66,26,13,False
2019-12-01,0,7,14,0,False
2019-12-08,0,7,13,0,False
2019-12-15,0,21,7,14,False
2019-12-22,0,22,22,0,False
2019-12-29,0,42,14,0,False
2020-01-05,6,64,26,0,False
2020-01-12,6,49,6,31,False
2020-01-19,6,64,6,6,False
2020-01-26,13,51,25,0,False
2020-02-02,0,56,6,0,False
2020-02-09,0,49,31,0,False
2020-02-16,0,40,7,0,False
2020-02-23,6,37,31,0,False
2020-03-01,6,43,0,6,False
2020-03-08,0,6,17,12,False
2020-03-15,5,33,5,0,False
2020-03-22,0,21,0,0,False
2020-03-29,0,16,11,0,False
2020-04-05,6,41,12,0,False
2020-04-12,0,11,0,0,False
2020-04-19,0,33,0,11,False
2020-04-26,16,21,0,0,False
2020-05-03,0,41,41,0,True
