date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,1,50,15,4,False
2018-01-14,2,55,15,3,False
2018-01-21,1,52,12,4,False
2018-01-28,2,42,11,2,False
2018-02-04,1,38,11,1,False
2018-02-11,2,44,8,2,False
2018-02-18,2,50,10,2,False
2018-02-25,2,43,13,3,False
2018-03-04,2,56,17,4,False
2018-03-11,1,44,16,4,False
2018-03-18,1,37,12,4,False
2018-03-25,4,44,9,4,False
2018-04-01,3,38,12,4,False
2018-04-08,3,44,11,4,False
2018-04-15,2,29,14,4,False
2018-04-22,5,35,11,4,False
2018-04-29,2,34,16,4,False
2018-05-06,4,38,17,1,False
2018-05-13,17,100,14,4,False
2018-05-20,25,86,20,8,False
2018-05-27,3,32,12,7,False
2018-06-03,5,39,19,5,False
2018-06-10,2,49,14,5,False
2018-06-17,5,36,13,2,False
2018-06-24,6,37,11,3,False
2018-07-01,2,36,10,6,False
2018-07-08,5,50,14,5,False
2018-07-15,2,28,13,7,False
2018-07-22,6,35,8,3,False
2018-07-29,3,43,16,4,False
2018-08-05,4,30,15,4,False
2018-08-12,3,42,16,3,False
2018-08-19,8,49,10,5,False
2018-08-26,5,44,9,4,False
2018-09-02,5,38,15,2,False
2018-09-09,5,31,8,4,False
2018-09-16,5,40,11,4,False
2018-09-23,2,40,7,5,False
2018-09-30,2,40,10,1,False
2018-10-07,6,44,11,2,False
2018-10-14,4,37,8,3,False
2018-10-21,4,34,12,4,False
2018-10-28,4,33,9,4,False
2018-11-04,2,31,7,2,False
2018-11-11,3,35,8,1,False
2018-11-18,1,35,9,6,False
2018-11-25,2,26,6,2,False
2018-12-02,0,28,3,2,False
2018-12-09,3,24,9,2,False
2018-12-16,1,25,4,1,False
2018-12-23,4,29,3,3,False
2018-12-30,2,37,7,4,False
2019-01-06,2,48,11,2,False
2019-01-13,3,46,10,3,False
2019-01-20,3,48,9,1,False
2019-01-27,1,45,9,4,False
2019-02-03,3,38,12,3,False
2019-02-10,2,36,14,3,False
2019-02-17,1,36,6,2,False
2019-02-24,2,31,6,2,False
2019-03-03,3,34,12,2,False
2019-03-10,3,32,8,5,False
2019-03-17,4,25,6,3,False
2019-03-24,2,25,14,3,False
2019-03-31,3,28,8,4,False
2019-04-07,2,31,12,5,False
2019-04-14,2,26,12,1,False
2019-04-21,4,28,13,5,False
2019-04-28,2,40,12,6,False
2019-05-05,4,36,12,6,False
2019-05-12,2,45,14,3,False
2019-05-19,3,37,12,4,False
2019-05-26,6,27,15,6,False
2019-06-02,3,27,7,3,False
2019-06-09,3,33,7,7,False
2019-06-16,3,28,10,5,False
2019-06-23,3,26,10,2,False
2019-06-30,3,30,13,3,False
2019-07-07,2,34,17,3,False
2019-07-14,4,31,9,6,False
2019-07-21,3,23,13,4,False
2019-07-28,6,44,16,3,False
2019-08-04,10,46,12,3,False
2019-08-11,5,41,17,5,False
2019-08-18,2,42,11,5,False
2019-08-25,3,41,10,6,False
2019-09-01,7,36,9,6,False
2019-09-08,2,42,11,5,False
2019-09-15,2,33,13,2,False
2019-09-22,3,42,9,2,False
2019-09-29,4,43,9,5,False
2019-10-06,2,34,7,3,False
2019-10-13,2,35,6,4,False
2019-10-20,4,39,15,2,False
2019-10-27,4,29,8,2,False
2019-11-03,1,33,8,3,False
2019-11-10,3,44,8,1,False
2019-11-17,2,34,8,2,False
2019-11-24,1,22,4,1,False
2019-12-01,2,23,7,1,False
2019-12-08,3,25,3,0,False
2019-12-15,3,23,4,3,False
2019-12-22,0,34,4,0,False
2019-12-29,3,38,9,3,False
2020-01-05,2,42,11,6,False
2020-01-12,3,46,7,2,False
2020-01-19,2,35,19,3,False
2020-01-26,3,42,10,3,False
2020-02-02,2,34,8,2,False
2020-02-09,3,31,6,4,False
2020-02-16,4,30,6,3,False
2020-02-23,3,28,10,2,False
2020-03-01,1,33,11,1,False
2020-03-08,2,29,7,1,False
2020-03-15,3,22,3,2,False
2020-03-22,0,25,4,1,False
2020-03-29,1,15,6,2,False
2020-04-05,1,14,3,1,False
2020-04-12,3,19,2,1,False
2020-04-19,1,26,4,2,False
2020-04-26,1,22,4,2,False
2020-05-03,0,27,0,0,True
