,geoName,piscine autoportante
3,Brittany,43.93939393939394
5,Centre-Val de Loire,81.81818181818183
7,Corsica,0.0
15,Pays de la Loire,51.515151515151516
18,Provence-Alpes-Côte d'Azur,53.03030303030303
21,Île-de-France,46.96969696969697
22,Grand-est,78.78787878787878
23,Hauts-de-france,75.0
24,Normandie,100.0
25,Bourgogne-Franche-Comté,86.36363636363636
26,Nouvelle-Aquitaine,94.44444444444446
27,Occitanie,71.21212121212122
28,Auvergne-Rhône-Alpes,46.21212121212121
