date,musica dj,isPartial
2018-01-07,51,False
2018-01-14,45,False
2018-01-21,35,False
2018-01-28,54,False
2018-02-04,63,False
2018-02-11,59,False
2018-02-18,81,False
2018-02-25,62,False
2018-03-04,43,False
2018-03-11,49,False
2018-03-18,88,False
2018-03-25,82,False
2018-04-01,42,False
2018-04-08,69,False
2018-04-15,55,False
2018-04-22,62,False
2018-04-29,100,False
2018-05-06,74,False
2018-05-13,54,False
2018-05-20,59,False
2018-05-27,60,False
2018-06-03,60,False
2018-06-10,72,False
2018-06-17,30,False
2018-06-24,75,False
2018-07-01,69,False
2018-07-08,45,False
2018-07-15,71,False
2018-07-22,71,False
2018-07-29,62,False
2018-08-05,58,False
2018-08-12,45,False
2018-08-19,82,False
2018-08-26,56,False
2018-09-02,72,False
2018-09-09,68,False
2018-09-16,48,False
2018-09-23,49,False
2018-09-30,49,False
2018-10-07,40,False
2018-10-14,86,False
2018-10-21,44,False
2018-10-28,63,False
2018-11-04,71,False
2018-11-11,69,False
2018-11-18,58,False
2018-11-25,30,False
2018-12-02,50,False
2018-12-09,40,False
2018-12-16,52,False
2018-12-23,59,False
2018-12-30,64,False
2019-01-06,60,False
2019-01-13,68,False
2019-01-20,56,False
2019-01-27,69,False
2019-02-03,51,False
2019-02-10,38,False
2019-02-17,68,False
2019-02-24,57,False
2019-03-03,25,False
2019-03-10,39,False
2019-03-17,45,False
2019-03-24,64,False
2019-03-31,29,False
2019-04-07,58,False
2019-04-14,35,False
2019-04-21,63,False
2019-04-28,44,False
2019-05-05,52,False
2019-05-12,57,False
2019-05-19,47,False
2019-05-26,41,False
2019-06-02,58,False
2019-06-09,68,False
2019-06-16,34,False
2019-06-23,30,False
2019-06-30,55,False
2019-07-07,67,False
2019-07-14,60,False
2019-07-21,50,False
2019-07-28,71,False
2019-08-04,47,False
2019-08-11,95,False
2019-08-18,36,False
2019-08-25,38,False
2019-09-01,54,False
2019-09-08,65,False
2019-09-15,36,False
2019-09-22,59,False
2019-09-29,37,False
2019-10-06,47,False
2019-10-13,78,False
2019-10-20,58,False
2019-10-27,54,False
2019-11-03,70,False
2019-11-10,49,False
2019-11-17,49,False
2019-11-24,40,False
2019-12-01,64,False
2019-12-08,69,False
2019-12-15,65,False
2019-12-22,64,False
2019-12-29,92,False
2020-01-05,32,False
2020-01-12,30,False
2020-01-19,21,False
2020-01-26,55,False
2020-02-02,42,False
2020-02-09,35,False
2020-02-16,26,False
2020-02-23,32,False
2020-03-01,40,False
2020-03-08,39,False
2020-03-15,62,False
2020-03-22,68,False
2020-03-29,63,False
2020-04-05,63,False
2020-04-12,47,False
2020-04-19,48,False
2020-04-26,71,True
