geoName,geoCode,video compleanno
Abruzzo,IT-65,90
Aosta,IT-23,0
Apulia,IT-75,85
Basilicata,IT-77,76
Calabria,IT-78,100
Campania,IT-72,69
Emilia-Romagna,IT-45,56
Friuli-Venezia Giulia,IT-36,65
Lazio,IT-62,51
Liguria,IT-42,52
Lombardy,IT-25,61
Marche,IT-57,72
Molise,IT-67,55
Piedmont,IT-21,50
Sardinia,IT-88,57
Sicily,IT-82,82
Trentino-Alto Adige/South Tyrol,IT-32,55
Tuscany,IT-52,59
Umbria,IT-55,58
Veneto,IT-34,52
