geoName,geoCode,moda uomo
Abruzzo,IT-65,83
Aosta,IT-23,0
Apulia,IT-75,90
Basilicata,IT-77,46
Calabria,IT-78,45
Campania,IT-72,64
Emilia-Romagna,IT-45,47
Friuli-Venezia Giulia,IT-36,65
Lazio,IT-62,56
Liguria,IT-42,69
Lombardy,IT-25,65
Marche,IT-57,77
Molise,IT-67,77
Piedmont,IT-21,46
Sardinia,IT-88,73
Sicily,IT-82,74
Trentino-Alto Adige/South Tyrol,IT-32,41
Tuscany,IT-52,90
Umbria,IT-55,100
Veneto,IT-34,63
