date,Türen,isPartial
2018-01-07,57,False
2018-01-14,37,False
2018-01-21,37,False
2018-01-28,46,False
2018-02-04,37,False
2018-02-11,35,False
2018-02-18,27,False
2018-02-25,35,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,39,False
2018-03-25,30,False
2018-04-01,44,False
2018-04-08,46,False
2018-04-15,60,False
2018-04-22,59,False
2018-04-29,37,False
2018-05-06,24,False
2018-05-13,23,False
2018-05-20,71,False
2018-05-27,47,False
2018-06-03,57,False
2018-06-10,22,False
2018-06-17,44,False
2018-06-24,42,False
2018-07-01,73,False
2018-07-08,22,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,52,False
2018-08-05,30,False
2018-08-12,31,False
2018-08-19,21,False
2018-08-26,32,False
2018-09-02,56,False
2018-09-09,34,False
2018-09-16,56,False
2018-09-23,45,False
2018-09-30,54,False
2018-10-07,57,False
2018-10-14,46,False
2018-10-21,59,False
2018-10-28,70,False
2018-11-04,34,False
2018-11-11,35,False
2018-11-18,57,False
2018-11-25,23,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,44,False
2018-12-23,31,False
2018-12-30,17,False
2019-01-06,53,False
2019-01-13,36,False
2019-01-20,54,False
2019-01-27,36,False
2019-02-03,36,False
2019-02-10,54,False
2019-02-17,17,False
2019-02-24,26,False
2019-03-03,17,False
2019-03-10,26,False
2019-03-17,29,False
2019-03-24,90,False
2019-03-31,42,False
2019-04-07,61,False
2019-04-14,55,False
2019-04-21,22,False
2019-04-28,44,False
2019-05-05,22,False
2019-05-12,65,False
2019-05-19,43,False
2019-05-26,32,False
2019-06-02,32,False
2019-06-09,41,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,20,False
2019-07-07,38,False
2019-07-14,51,False
2019-07-21,39,False
2019-07-28,37,False
2019-08-04,38,False
2019-08-11,28,False
2019-08-18,19,False
2019-08-25,40,False
2019-09-01,48,False
2019-09-08,19,False
2019-09-15,40,False
2019-09-22,78,False
2019-09-29,0,False
2019-10-06,26,False
2019-10-13,73,False
2019-10-20,45,False
2019-10-27,18,False
2019-11-03,44,False
2019-11-10,27,False
2019-11-17,71,False
2019-11-24,35,False
2019-12-01,45,False
2019-12-08,34,False
2019-12-15,25,False
2019-12-22,24,False
2019-12-29,29,False
2020-01-05,66,False
2020-01-12,57,False
2020-01-19,51,False
2020-01-26,84,False
2020-02-02,53,False
2020-02-09,55,False
2020-02-16,27,False
2020-02-23,31,False
2020-03-01,27,False
2020-03-08,52,False
2020-03-15,38,False
2020-03-22,51,False
2020-03-29,30,False
2020-04-05,34,False
2020-04-12,32,False
2020-04-19,63,False
2020-04-26,47,False
2020-05-03,100,False
2020-05-10,57,False
2020-05-17,35,False
2020-05-24,59,False
2020-05-31,42,False
2020-06-07,41,False
2020-06-14,23,False
2020-06-21,16,False
2020-06-28,47,False
2020-07-05,32,False
