date,Türen,isPartial
2018-01-07,87,False
2018-01-14,71,False
2018-01-21,60,False
2018-01-28,68,False
2018-02-04,93,False
2018-02-11,75,False
2018-02-18,76,False
2018-02-25,78,False
2018-03-04,73,False
2018-03-11,91,False
2018-03-18,72,False
2018-03-25,88,False
2018-04-01,72,False
2018-04-08,54,False
2018-04-15,58,False
2018-04-22,74,False
2018-04-29,65,False
2018-05-06,63,False
2018-05-13,64,False
2018-05-20,59,False
2018-05-27,85,False
2018-06-03,60,False
2018-06-10,79,False
2018-06-17,55,False
2018-06-24,63,False
2018-07-01,65,False
2018-07-08,70,False
2018-07-15,65,False
2018-07-22,66,False
2018-07-29,79,False
2018-08-05,67,False
2018-08-12,71,False
2018-08-19,79,False
2018-08-26,79,False
2018-09-02,65,False
2018-09-09,91,False
2018-09-16,69,False
2018-09-23,77,False
2018-09-30,67,False
2018-10-07,57,False
2018-10-14,88,False
2018-10-21,80,False
2018-10-28,70,False
2018-11-04,71,False
2018-11-11,75,False
2018-11-18,74,False
2018-11-25,81,False
2018-12-02,65,False
2018-12-09,54,False
2018-12-16,61,False
2018-12-23,41,False
2018-12-30,56,False
2019-01-06,81,False
2019-01-13,70,False
2019-01-20,78,False
2019-01-27,64,False
2019-02-03,86,False
2019-02-10,56,False
2019-02-17,60,False
2019-02-24,92,False
2019-03-03,66,False
2019-03-10,77,False
2019-03-17,69,False
2019-03-24,74,False
2019-03-31,56,False
2019-04-07,91,False
2019-04-14,60,False
2019-04-21,55,False
2019-04-28,75,False
2019-05-05,68,False
2019-05-12,81,False
2019-05-19,52,False
2019-05-26,68,False
2019-06-02,49,False
2019-06-09,68,False
2019-06-16,51,False
2019-06-23,64,False
2019-06-30,54,False
2019-07-07,65,False
2019-07-14,71,False
2019-07-21,53,False
2019-07-28,58,False
2019-08-04,75,False
2019-08-11,71,False
2019-08-18,78,False
2019-08-25,63,False
2019-09-01,68,False
2019-09-08,61,False
2019-09-15,78,False
2019-09-22,88,False
2019-09-29,63,False
2019-10-06,71,False
2019-10-13,75,False
2019-10-20,69,False
2019-10-27,72,False
2019-11-03,79,False
2019-11-10,83,False
2019-11-17,71,False
2019-11-24,77,False
2019-12-01,60,False
2019-12-08,45,False
2019-12-15,50,False
2019-12-22,42,False
2019-12-29,62,False
2020-01-05,89,False
2020-01-12,73,False
2020-01-19,83,False
2020-01-26,90,False
2020-02-02,100,False
2020-02-09,80,False
2020-02-16,73,False
2020-02-23,71,False
2020-03-01,79,False
2020-03-08,68,False
2020-03-15,47,False
2020-03-22,52,False
2020-03-29,56,False
2020-04-05,66,False
2020-04-12,61,False
2020-04-19,58,False
2020-04-26,78,False
2020-05-03,84,False
2020-05-10,83,False
2020-05-17,73,False
2020-05-24,81,False
2020-05-31,93,False
2020-06-07,90,False
2020-06-14,67,False
2020-06-21,77,False
2020-06-28,77,False
2020-07-05,67,False
