geoName,geoCode,Türen
Burgenland,AT-1,79
Carinthia,AT-2,72
Lower Austria,AT-3,92
Salzburg,AT-5,100
Styria,AT-6,90
Tyrol,AT-7,70
Upper Austria,AT-4,90
Vienna,AT-9,78
Vorarlberg,AT-8,99
