geoName,geoCode,tagli di capelli
Abruzzo,IT-65,59
Aosta,IT-23,0
Apulia,IT-75,47
Basilicata,IT-77,89
Calabria,IT-78,58
Campania,IT-72,67
Emilia-Romagna,IT-45,41
Friuli-Venezia Giulia,IT-36,26
Lazio,IT-62,34
Liguria,IT-42,30
Lombardy,IT-25,41
Marche,IT-57,32
Molise,IT-67,100
Piedmont,IT-21,41
Sardinia,IT-88,39
Sicily,IT-82,73
Trentino-Alto Adige/South Tyrol,IT-32,19
Tuscany,IT-52,34
Umbria,IT-55,51
Veneto,IT-34,41
