geoName,geoCode,Heizungsinstallateur
Baden-Württemberg,DE-BW,69
Bavaria,DE-BY,67
Berlin,DE-BE,40
Brandenburg,DE-BB,64
Bremen,DE-HB,0
Hamburg,DE-HH,59
Hesse,DE-HE,96
Lower Saxony,DE-NI,84
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,67
Saarland,DE-SL,0
Saxony,DE-SN,35
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,78
Thuringia,DE-TH,79
