geoName,geoCode,Sektionaltor
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,72
Berlin,DE-BE,19
Brandenburg,DE-BB,61
Bremen,DE-HB,47
Hamburg,DE-HH,42
Hesse,DE-HE,49
Lower Saxony,DE-NI,74
Mecklenburg-Vorpommern,DE-MV,81
North Rhine-Westphalia,DE-NW,62
Rhineland-Palatinate,DE-RP,87
Saarland,DE-SL,100
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,78
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,92
