date,Hochzeit Buffet,Hochzeit Essen,Hochzeit Bar,isPartial
2018-01-07,16,85,16,False
2018-01-14,0,68,31,False
2018-01-21,16,85,39,False
2018-01-28,26,47,16,False
2018-02-04,0,66,16,False
2018-02-11,16,49,41,False
2018-02-18,16,80,24,False
2018-02-25,0,71,16,False
2018-03-04,24,75,24,False
2018-03-11,16,69,24,False
2018-03-18,16,59,27,False
2018-03-25,17,34,34,False
2018-04-01,34,63,28,False
2018-04-08,16,48,16,False
2018-04-15,17,27,16,False
2018-04-22,31,47,26,False
2018-04-29,17,77,16,False
2018-05-06,17,56,25,False
2018-05-13,24,100,37,False
2018-05-20,25,62,34,False
2018-05-27,16,48,32,False
2018-06-03,16,40,32,False
2018-06-10,15,82,15,False
2018-06-17,0,52,23,False
2018-06-24,24,32,21,False
2018-07-01,16,26,26,False
2018-07-08,23,67,26,False
2018-07-15,0,60,16,False
2018-07-22,17,50,28,False
2018-07-29,17,85,28,False
2018-08-05,34,56,17,False
2018-08-12,34,79,17,False
2018-08-19,25,33,16,False
2018-08-26,0,76,16,False
2018-09-02,16,54,16,False
2018-09-09,16,60,32,False
2018-09-16,0,60,49,False
2018-09-23,16,44,49,False
2018-09-30,16,58,17,False
2018-10-07,16,38,16,False
2018-10-14,17,77,25,False
2018-10-21,16,60,16,False
2018-10-28,0,48,16,False
2018-11-04,15,46,0,False
2018-11-11,32,48,16,False
2018-11-18,0,23,0,False
2018-11-25,0,36,31,False
2018-12-02,0,41,15,False
2018-12-09,0,68,0,False
2018-12-16,0,32,0,False
2018-12-23,18,60,18,False
2018-12-30,0,66,22,False
2019-01-06,15,40,22,False
2019-01-13,15,54,0,False
2019-01-20,15,39,0,False
2019-01-27,0,54,25,False
2019-02-03,30,37,15,False
2019-02-10,23,30,35,False
2019-02-17,0,30,20,False
2019-02-24,0,52,46,False
2019-03-03,15,30,15,False
2019-03-10,15,44,15,False
2019-03-17,15,41,31,False
2019-03-24,31,92,15,False
2019-03-31,15,35,0,False
2019-04-07,15,41,15,False
2019-04-14,0,39,67,False
2019-04-21,24,70,16,False
2019-04-28,31,51,15,False
2019-05-05,15,59,40,False
2019-05-12,23,46,26,False
2019-05-19,15,60,38,False
2019-05-26,16,36,21,False
2019-06-02,15,55,0,False
2019-06-09,16,51,31,False
2019-06-16,16,83,16,False
2019-06-23,16,51,0,False
2019-06-30,15,36,15,False
2019-07-07,23,45,25,False
2019-07-14,0,85,16,False
2019-07-21,0,40,34,False
2019-07-28,17,84,0,False
2019-08-04,17,84,25,False
2019-08-11,32,97,48,False
2019-08-18,16,59,0,False
2019-08-25,15,56,31,False
2019-09-01,15,30,45,False
2019-09-08,15,41,38,False
2019-09-15,31,41,0,False
2019-09-22,15,40,15,False
2019-09-29,0,70,30,False
2019-10-06,15,34,15,False
2019-10-13,30,65,22,False
2019-10-20,0,60,23,False
2019-10-27,15,39,15,False
2019-11-03,0,51,14,False
2019-11-10,0,33,28,False
2019-11-17,0,28,0,False
2019-11-24,0,41,0,False
2019-12-01,28,57,0,False
2019-12-08,14,42,0,False
2019-12-15,0,62,14,False
2019-12-22,16,33,16,False
2019-12-29,16,62,21,False
2020-01-05,14,32,23,False
2020-01-12,26,52,13,False
2020-01-19,20,45,0,False
2020-01-26,0,45,14,False
2020-02-02,13,44,13,False
2020-02-09,0,39,13,False
2020-02-16,13,41,14,False
2020-02-23,26,35,13,False
2020-03-01,0,26,13,False
2020-03-08,12,41,0,False
2020-03-15,0,29,0,False
2020-03-22,12,18,12,False
2020-03-29,12,20,12,False
2020-04-05,0,27,13,False
2020-04-12,25,50,0,False
2020-04-19,0,12,12,False
2020-04-26,0,24,12,False
2020-05-03,0,31,12,False
2020-05-10,12,41,29,False
2020-05-17,13,43,0,False
2020-05-24,0,32,0,False
2020-05-31,0,33,25,False
2020-06-07,14,53,15,True
