date,mariage traiteur,vegan mariage ,gateau mariage_x,poisson mariage ,buffet mariage,isPartial_x,gateau mariage_y,mariage champagne,viande mariage ,mariage cocktail,isPartial_y
2018-01-07,55,0,42,2,20,False,42,9,2,31,False
2018-01-14,46,0,38,2,6,False,38,9,2,38,False
2018-01-21,41,0,45,4,12,False,45,16,4,39,False
2018-01-28,35,0,50,5,7,False,50,11,2,35,False
2018-02-04,52,2,41,5,10,False,41,9,2,24,False
2018-02-11,64,5,47,5,11,False,47,14,5,42,False
2018-02-18,48,0,55,3,5,False,55,15,4,45,False
2018-02-25,40,5,45,6,9,False,45,10,2,40,False
2018-03-04,41,3,33,2,17,False,33,14,5,49,False
2018-03-11,47,3,43,0,9,False,43,13,4,38,False
2018-03-18,53,3,51,5,9,False,51,15,3,34,False
2018-03-25,46,3,38,3,9,False,38,15,3,42,False
2018-04-01,54,3,47,3,14,False,47,20,5,43,False
2018-04-08,29,3,43,3,21,False,43,11,0,37,False
2018-04-15,28,0,30,4,7,False,30,13,5,27,False
2018-04-22,35,0,37,4,7,False,37,18,8,41,False
2018-04-29,37,0,43,5,10,False,43,14,3,46,False
2018-05-06,44,3,37,4,15,False,37,16,0,43,False
2018-05-13,57,3,87,3,13,False,87,22,0,43,False
2018-05-20,44,0,100,5,9,False,100,23,6,44,False
2018-05-27,45,0,44,5,6,False,44,15,2,48,False
2018-06-03,46,2,55,2,14,False,55,10,7,37,False
2018-06-10,47,0,46,2,8,False,46,16,2,39,False
2018-06-17,25,3,40,6,11,False,40,16,3,42,False
2018-06-24,47,0,28,0,14,False,28,5,3,31,False
2018-07-01,42,0,40,2,6,False,40,11,7,20,False
2018-07-08,32,3,35,3,14,False,35,12,0,24,False
2018-07-15,34,0,42,3,3,False,42,14,0,28,False
2018-07-22,49,0,42,5,4,False,42,14,3,83,False
2018-07-29,47,0,49,5,7,False,49,14,3,38,False
2018-08-05,28,0,41,7,8,False,41,14,0,30,False
2018-08-12,58,0,35,6,10,False,35,13,0,27,False
2018-08-19,58,0,45,3,12,False,45,17,3,41,False
2018-08-26,57,0,29,5,10,False,29,14,0,34,False
2018-09-02,59,3,37,5,9,False,37,9,0,22,False
2018-09-09,50,0,38,3,9,False,38,17,6,21,False
2018-09-16,71,3,41,6,6,False,41,6,4,34,False
2018-09-23,40,3,36,3,13,False,36,14,3,39,False
2018-09-30,50,3,34,0,10,False,34,10,3,24,False
2018-10-07,52,5,34,0,10,False,34,17,0,23,False
2018-10-14,58,0,33,5,12,False,33,6,8,23,False
2018-10-21,35,0,34,5,10,False,34,9,5,18,False
2018-10-28,31,0,44,0,10,False,44,13,4,14,False
2018-11-04,46,5,22,5,5,False,22,6,2,11,False
2018-11-11,38,2,26,0,5,False,26,8,4,15,False
2018-11-18,31,0,26,2,5,False,26,7,0,21,False
2018-11-25,29,0,31,2,4,False,31,11,0,19,False
2018-12-02,31,0,22,2,6,False,22,3,5,10,False
2018-12-09,25,0,18,3,5,False,18,5,3,14,False
2018-12-16,19,0,15,3,6,False,15,13,3,14,False
2018-12-23,25,0,13,0,9,False,13,4,3,12,False
2018-12-30,45,0,27,11,8,False,27,11,3,29,False
2019-01-06,58,0,24,0,6,False,24,10,2,25,False
