date,Hochzeit Buffet,Hochzeit Essen,Hochzeit Bar,isPartial
2018-01-07,16,73,38,False
2018-01-14,13,59,38,False
2018-01-21,16,38,38,False
2018-01-28,32,35,45,False
2018-02-04,14,39,22,False
2018-02-11,12,55,30,False
2018-02-18,21,72,33,False
2018-02-25,20,57,14,False
2018-03-04,12,41,35,False
2018-03-11,17,63,27,False
2018-03-18,17,58,39,False
2018-03-25,18,61,32,False
2018-04-01,31,47,41,False
2018-04-08,11,34,23,False
2018-04-15,17,66,22,False
2018-04-22,17,31,17,False
2018-04-29,17,49,40,False
2018-05-06,12,53,38,False
2018-05-13,17,100,42,False
2018-05-20,32,94,35,False
2018-05-27,11,45,21,False
2018-06-03,21,42,47,False
2018-06-10,19,64,48,False
2018-06-17,14,43,33,False
2018-06-24,21,56,36,False
2018-07-01,21,55,33,False
2018-07-08,19,64,39,False
2018-07-15,17,63,31,False
2018-07-22,14,57,57,False
2018-07-29,13,43,32,False
2018-08-05,14,59,42,False
2018-08-12,9,84,52,False
2018-08-19,17,57,31,False
2018-08-26,11,54,31,False
2018-09-02,17,56,22,False
2018-09-09,21,64,22,False
2018-09-16,8,70,38,False
2018-09-23,17,45,34,False
2018-09-30,11,36,17,False
2018-10-07,17,47,28,False
2018-10-14,22,47,45,False
2018-10-21,24,63,16,False
2018-10-28,8,22,20,False
2018-11-04,12,34,16,False
2018-11-11,8,46,19,False
2018-11-18,8,39,8,False
2018-11-25,13,40,11,False
2018-12-02,8,35,32,False
2018-12-09,8,57,20,False
2018-12-16,8,44,8,False
2018-12-23,24,57,22,False
2018-12-30,13,54,34,False
2019-01-06,8,44,13,False
2019-01-13,15,55,33,False
2019-01-20,13,58,40,False
2019-01-27,15,40,25,False
2019-02-03,19,38,20,False
2019-02-10,10,55,44,False
2019-02-17,8,44,24,False
2019-02-24,12,43,21,False
2019-03-03,15,39,15,False
2019-03-10,25,59,18,False
2019-03-17,12,29,20,False
2019-03-24,8,56,16,False
2019-03-31,16,51,27,False
2019-04-07,16,55,21,False
2019-04-14,20,52,31,False
2019-04-21,17,59,28,False
2019-04-28,10,52,31,False
2019-05-05,18,71,33,False
2019-05-12,21,42,40,False
2019-05-19,26,62,36,False
2019-05-26,16,32,64,False
2019-06-02,10,55,34,False
2019-06-09,12,64,21,False
2019-06-16,16,75,24,False
2019-06-23,11,65,27,False
2019-06-30,16,56,16,False
2019-07-07,12,55,31,False
2019-07-14,12,49,35,False
2019-07-21,13,46,20,False
2019-07-28,8,55,29,False
2019-08-04,14,87,29,False
2019-08-11,19,75,13,False
2019-08-18,33,71,24,False
2019-08-25,16,32,19,False
2019-09-01,13,46,18,False
2019-09-08,8,52,24,False
2019-09-15,8,42,21,False
2019-09-22,15,38,23,False
2019-09-29,8,54,33,False
2019-10-06,12,48,13,False
2019-10-13,20,63,18,False
2019-10-20,11,33,30,False
2019-10-27,7,42,22,False
2019-11-03,7,46,17,False
2019-11-10,18,36,22,False
2019-11-17,7,27,15,False
2019-11-24,7,50,22,False
2019-12-01,10,30,7,False
2019-12-08,12,44,12,False
2019-12-15,8,41,8,False
2019-12-22,8,40,17,False
2019-12-29,8,47,29,False
2020-01-05,26,49,19,False
2020-01-12,16,48,23,False
2020-01-19,28,51,23,False
2020-01-26,14,39,25,False
2020-02-02,12,42,25,False
2020-02-09,20,38,24,False
2020-02-16,11,49,19,False
2020-02-23,24,52,20,False
2020-03-01,7,43,16,False
2020-03-08,16,28,9,False
2020-03-15,10,29,15,False
2020-03-22,6,13,13,False
2020-03-29,6,25,12,False
2020-04-05,7,21,11,False
2020-04-12,7,18,13,False
2020-04-19,13,32,19,False
2020-04-26,6,12,9,False
2020-05-03,0,29,17,False
2020-05-10,9,51,16,False
2020-05-17,9,22,17,False
2020-05-24,7,28,16,False
2020-05-31,13,42,15,False
2020-06-07,22,36,11,True
