date,menu boda,menú vegano,isPartial
2018-01-07,23,0,False
2018-01-14,25,0,False
2018-01-21,17,0,False
2018-01-28,28,0,False
2018-02-04,11,0,False
2018-02-11,29,0,False
2018-02-18,28,0,False
2018-02-25,20,0,False
2018-03-04,17,0,False
2018-03-11,15,0,False
2018-03-18,11,0,False
2018-03-25,23,0,False
2018-04-01,25,0,False
2018-04-08,25,4,False
2018-04-15,32,0,False
2018-04-22,22,0,False
2018-04-29,23,0,False
2018-05-06,37,0,False
2018-05-13,34,0,False
2018-05-20,54,0,False
2018-05-27,30,4,False
2018-06-03,31,0,False
2018-06-10,34,0,False
2018-06-17,33,8,False
2018-06-24,37,4,False
2018-07-01,35,0,False
2018-07-08,42,0,False
2018-07-15,38,0,False
2018-07-22,40,0,False
2018-07-29,30,4,False
2018-08-05,18,4,False
2018-08-12,39,0,False
2018-08-19,39,0,False
2018-08-26,44,0,False
2018-09-02,36,0,False
2018-09-09,26,4,False
2018-09-16,35,4,False
2018-09-23,33,0,False
2018-09-30,39,0,False
2018-10-07,38,0,False
2018-10-14,23,4,False
2018-10-21,20,0,False
2018-10-28,15,0,False
2018-11-04,21,4,False
2018-11-11,18,0,False
2018-11-18,28,3,False
2018-11-25,7,0,False
2018-12-02,21,4,False
2018-12-09,10,4,False
2018-12-16,23,0,False
2018-12-23,11,4,False
2018-12-30,15,4,False
2019-01-06,19,0,False
2019-01-13,36,4,False
2019-01-20,15,0,False
2019-01-27,19,0,False
2019-02-03,16,0,False
2019-02-10,22,0,False
2019-02-17,24,0,False
2019-02-24,25,0,False
2019-03-03,11,4,False
2019-03-10,23,0,False
2019-03-17,28,0,False
2019-03-24,18,0,False
2019-03-31,23,0,False
2019-04-07,21,0,False
2019-04-14,21,0,False
2019-04-21,25,0,False
2019-04-28,35,0,False
2019-05-05,21,4,False
2019-05-12,36,0,False
2019-05-19,27,4,False
2019-05-26,24,3,False
2019-06-02,31,0,False
2019-06-09,44,4,False
2019-06-16,100,4,False
2019-06-23,35,0,False
2019-06-30,44,0,False
2019-07-07,33,0,False
2019-07-14,30,0,False
2019-07-21,32,0,False
2019-07-28,27,0,False
2019-08-04,41,0,False
2019-08-11,35,0,False
2019-08-18,34,8,False
2019-08-25,24,0,False
2019-09-01,21,0,False
2019-09-08,34,3,False
2019-09-15,29,3,False
2019-09-22,24,0,False
2019-09-29,25,0,False
2019-10-06,15,3,False
2019-10-13,28,0,False
2019-10-20,26,0,False
2019-10-27,7,3,False
2019-11-03,11,3,False
2019-11-10,16,5,False
2019-11-17,11,0,False
2019-11-24,21,0,False
2019-12-01,13,7,False
2019-12-08,12,3,False
2019-12-15,13,3,False
2019-12-22,7,0,False
2019-12-29,13,4,False
2020-01-05,15,0,False
2020-01-12,29,0,False
2020-01-19,18,0,False
2020-01-26,13,3,False
2020-02-02,22,3,False
2020-02-09,14,3,False
2020-02-16,20,3,False
2020-02-23,23,3,False
2020-03-01,21,0,False
2020-03-08,9,0,False
2020-03-15,3,0,False
2020-03-22,4,0,False
2020-03-29,12,0,False
2020-04-05,9,3,False
2020-04-12,4,0,False
2020-04-19,4,0,False
2020-04-26,14,0,True
