geoName,geoCode,mariage traiteur,vegan mariage ,gateau mariage,poisson mariage ,buffet mariage
Alsace,FR-A,53,0,47,0,0
Aquitaine,FR-B,45,0,51,0,4
Auvergne,FR-C,50,0,50,0,0
Brittany,FR-E,52,0,48,0,0
Burgundy,FR-D,38,0,62,0,0
Centre-Val de Loire,FR-F,62,0,38,0,0
Champagne-Ardenne,FR-G,64,0,36,0,0
Corsica,FR-H,0,0,0,0,0
Franche-Comté,FR-I,42,0,58,0,0
Languedoc-Roussillon,FR-K,37,0,63,0,0
Limousin,FR-L,85,0,15,0,0
Lorraine,FR-M,30,0,70,0,0
Lower Normandy,FR-P,54,0,46,0,0
Midi-Pyrénées,FR-N,45,0,48,0,7
Nord-Pas-de-Calais,FR-O,43,0,42,0,15
Pays de la Loire,FR-R,57,0,36,0,7
Picardy,FR-S,58,0,42,0,0
Poitou-Charentes,FR-T,67,0,33,0,0
Provence-Alpes-Côte d'Azur,FR-U,45,0,42,0,13
Rhone-Alpes,FR-V,51,0,37,0,12
Upper Normandy,FR-Q,46,0,54,0,0
Île-de-France,FR-J,52,0,37,3,8
