date,mariage traiteur_x,vegan mariage ,gateau mariage,poisson mariage ,buffet mariage,isPartial_x,mariage traiteur_y,mariage champagne,viande mariage ,mariage cocktail,isPartial_y
2018-01-07,18,0,0,0,0,False,18,18,0,36,False
2018-01-14,55,0,37,0,0,False,55,0,0,18,False
2018-01-21,37,0,37,0,18,False,37,37,0,18,False
2018-01-28,19,0,19,0,0,False,19,19,0,37,False
2018-02-04,56,0,18,0,74,False,56,19,0,65,False
2018-02-11,46,0,18,0,0,False,46,0,0,18,False
2018-02-18,37,0,46,0,18,False,37,0,0,55,False
2018-02-25,18,0,18,0,0,False,18,37,0,18,False
2018-03-04,37,0,19,0,0,False,37,0,0,47,False
2018-03-11,37,0,18,0,19,False,37,0,0,19,False
2018-03-18,28,0,28,0,37,False,28,0,0,37,False
2018-03-25,48,0,19,0,0,False,48,0,0,29,False
2018-04-01,19,0,29,0,19,False,19,0,0,29,False
2018-04-08,89,0,35,0,0,False,89,18,0,27,False
2018-04-15,58,0,58,0,19,False,58,19,0,0,False
2018-04-22,20,0,39,0,0,False,20,0,0,19,False
2018-04-29,19,0,38,0,19,False,19,0,0,19,False
2018-05-06,19,0,19,0,19,False,19,0,0,0,False
2018-05-13,37,0,37,0,18,False,37,19,0,65,False
2018-05-20,38,0,47,0,19,False,38,38,0,38,False
2018-05-27,0,0,37,0,37,False,0,0,0,37,False
2018-06-03,37,0,37,0,28,False,37,18,0,37,False
2018-06-10,36,0,53,0,0,False,36,0,0,18,False
2018-06-17,38,0,28,0,19,False,38,19,0,47,False
2018-06-24,28,0,37,0,0,False,28,0,0,18,False
2018-07-01,27,0,18,0,0,False,27,0,0,36,False
2018-07-08,18,0,36,0,18,False,18,18,0,18,False
2018-07-15,19,0,37,0,0,False,19,19,0,37,False
2018-07-22,37,0,37,0,0,False,37,18,0,37,False
2018-07-29,36,0,36,0,36,False,36,0,0,36,False
2018-08-05,35,0,0,0,18,False,35,18,0,35,False
2018-08-12,18,0,36,0,18,False,18,0,0,0,False
2018-08-19,37,0,18,0,0,False,37,0,0,0,False
2018-08-26,19,0,19,0,0,False,19,19,0,19,False
2018-09-02,38,0,38,0,19,False,38,19,0,57,False
2018-09-09,75,0,28,0,19,False,75,0,0,37,False
2018-09-16,57,0,19,0,0,False,57,19,0,38,False
2018-09-23,19,0,48,0,0,False,19,29,0,0,False
2018-09-30,38,0,19,0,19,False,38,38,0,19,False
2018-10-07,38,0,0,0,19,False,38,0,0,29,False
2018-10-14,40,0,20,0,0,False,40,0,0,20,False
2018-10-21,21,0,31,0,0,False,21,21,0,0,False
2018-10-28,19,0,47,0,0,False,19,56,0,38,False
2018-11-04,37,0,0,0,0,False,37,18,0,18,False
2018-11-11,0,0,0,0,0,False,0,0,0,0,False
2018-11-18,19,0,19,0,19,False,19,0,0,38,False
2018-11-25,19,0,38,0,0,False,19,0,0,0,False
2018-12-02,0,0,59,0,0,False,0,0,0,0,False
2018-12-09,30,0,20,0,0,False,30,0,0,0,False
2018-12-16,0,0,0,0,0,False,0,0,0,20,False
2018-12-23,23,0,46,0,0,False,23,0,0,0,False
2018-12-30,42,0,53,0,0,False,42,0,0,32,False
2019-01-06,29,0,0,0,0,False,29,0,0,77,False
2019-01-13,19,0,29,0,19,False,19,0,0,0,False
2019-01-20,0,0,37,0,19,False,0,0,0,28,False
2019-01-27,18,0,55,0,37,False,18,0,0,18,False
2019-02-03,39,0,19,0,0,False,39,38,0,58,False
2019-02-10,20,0,20,0,0,False,20,0,0,40,False
2019-02-17,40,0,50,0,0,False,40,0,0,0,False
2019-02-24,19,0,29,0,29,False,19,0,0,58,False
2019-03-03,19,0,75,0,19,False,19,0,0,47,False
2019-03-10,39,0,0,0,0,False,39,0,0,29,False
2019-03-17,20,0,0,0,20,False,20,0,0,20,False
2019-03-24,29,0,20,0,0,False,29,0,0,29,False
2019-03-31,19,0,38,0,19,False,19,0,0,19,False
2019-04-07,20,0,20,0,0,False,20,0,0,19,False
2019-04-14,19,0,39,0,19,False,19,39,0,49,False
2019-04-21,18,0,18,0,0,False,18,18,0,46,False
2019-04-28,38,0,0,0,28,False,38,19,0,47,False
2019-05-05,19,0,28,0,0,False,19,18,0,37,False
2019-05-12,18,0,18,0,0,False,18,18,0,37,False
2019-05-19,27,0,18,0,27,False,27,18,0,36,False
2019-05-26,18,0,55,0,0,False,18,0,0,36,False
2019-06-02,34,0,17,0,17,False,34,34,0,34,False
2019-06-09,26,0,69,0,17,False,26,17,0,17,False
2019-06-16,53,0,18,0,18,False,53,0,0,26,False
2019-06-23,18,0,26,0,0,False,18,18,0,0,False
2019-06-30,17,0,17,0,18,False,17,0,0,17,False
2019-07-07,43,0,17,0,0,False,43,0,0,0,False
2019-07-14,27,0,44,0,35,False,27,18,0,18,False
2019-07-21,0,0,27,0,18,False,0,18,0,18,False
2019-07-28,54,0,27,0,18,False,54,0,0,27,False
2019-08-04,36,0,36,0,18,False,36,0,0,0,False
2019-08-11,24,0,24,0,0,False,24,16,0,32,False
2019-08-18,23,0,30,0,0,False,23,0,0,15,False
2019-08-25,40,0,24,0,0,False,40,0,0,24,False
2019-09-01,43,0,17,0,17,False,43,17,0,17,False
2019-09-08,17,0,44,0,0,False,17,35,0,0,False
2019-09-15,26,0,43,0,34,False,26,0,0,17,False
2019-09-22,17,0,17,0,0,False,17,0,0,34,False
2019-09-29,43,0,34,0,17,False,43,0,0,43,False
2019-10-06,17,0,26,0,0,False,17,0,0,0,False
2019-10-13,35,0,26,0,34,False,35,0,0,0,False
2019-10-20,34,0,0,0,0,False,34,0,0,0,False
2019-10-27,17,0,17,0,0,False,17,17,0,17,False
